Height,Weight,Overall,pozicija
5'9,154,81,B
5'7,152,81,B
6'0,168,81,V
5'11,170,81,N
5'11,174,81,N
6'2,183,81,B
6'1,172,81,N
5'10,170,81,V
6'1,187,81,B
5'11,168,81,B
5'9,152,81,N
6'0,179,81,V
6'1,185,81,N
6'3,174,81,V
6'1,174,81,V
6'1,181,81,V
5'11,168,81,V
5'7,154,81,V
5'7,134,81,N
6'2,185,81,B
5'7,143,81,B
5'7,159,81,V
5'8,137,81,V
6'4,187,81,B
5'8,170,81,N
5'10,159,81,V
6'4,179,81,B
5'9,150,81,V
5'6,130,81,V
6'2,176,81,N
5'11,176,81,N
6'1,183,81,B
6'2,185,81,B
6'1,176,81,B
5'6,139,81,V
6'0,161,81,V
6'1,190,81,V
6'0,174,81,B
5'11,154,81,V
5'11,163,81,B
6'0,176,81,V
5'9,168,81,B
5'10,170,81,N
6'1,190,81,V
5'11,183,81,V
5'7,134,81,V
5'9,161,81,V
5'11,174,81,N
6'0,170,81,N
5'9,165,81,V
6'0,159,81,V
5'9,152,81,N
5'10,150,81,V
5'9,154,81,V
6'2,185,81,B
5'10,165,81,N
6'2,183,80,V
5'9,154,80,V
5'9,146,80,B
5'9,139,80,V
5'10,152,80,B
5'10,165,80,V
6'2,187,80,B
6'1,168,80,B
5'9,154,80,V
5'8,152,80,B
5'11,176,80,V
5'11,168,80,N
6'2,179,80,B
6'2,176,80,B
6'2,179,80,V
5'10,150,80,V
5'8,146,80,N
5'11,176,80,V
5'9,150,80,V
5'11,170,80,N
6'0,159,80,V
5'8,146,80,B
6'2,185,80,V
5'7,143,80,B
5'11,161,80,V
5'10,168,80,V
6'2,183,80,B
6'3,181,80,B
5'11,165,80,V
5'11,168,80,V
5'11,165,80,B
6'3,183,80,B
6'3,201,80,N
5'7,139,80,V
5'10,154,80,V
6'1,172,80,N
5'10,163,80,B
6'6,216,80,B
5'10,161,80,N
6'2,198,80,V
6'0,172,80,B
6'1,176,80,V
5'10,181,80,B
5'10,163,80,B
6'1,159,80,N
5'10,143,80,V
6'0,181,80,N
5'9,154,80,V
5'9,168,80,B
6'1,183,80,B
6'3,183,80,V
5'9,159,80,B
6'1,176,80,B
5'11,170,80,V
5'11,170,80,B
6'0,163,80,B
6'3,196,80,B
5'11,159,80,B
6'0,163,80,V
5'11,163,80,V
5'9,152,80,N
6'2,190,80,N
5'7,139,80,V
5'10,150,80,N
5'10,163,80,V
6'0,192,80,V
6'0,170,80,B
5'10,163,80,V
6'0,165,80,V
6'1,159,80,N
6'0,161,80,V
6'3,187,80,B
5'10,148,80,B
5'11,179,80,N
5'9,152,80,B
5'10,159,80,B
5'10,168,80,V
5'10,161,80,V
5'11,168,80,N
6'0,179,80,V
6'0,165,80,B
5'10,165,80,N
5'11,168,80,N
5'9,159,80,V
6'3,179,80,B
6'0,174,80,B
6'4,194,80,B
5'9,163,80,V
6'2,187,80,B
6'4,185,80,B
6'2,201,80,N
6'2,196,80,N
5'9,154,80,V
5'11,157,80,B
5'7,132,80,V
5'9,161,80,V
6'0,174,80,B
5'9,183,80,N
6'1,174,80,N
6'1,181,79,B
5'9,146,79,N
5'9,150,79,V
5'11,154,79,N
5'9,174,79,N
5'9,161,79,N
6'0,174,79,B
5'10,165,79,B
6'1,174,79,N
5'10,152,79,V
6'1,183,79,V
6'0,161,79,V
6'1,174,79,B
5'11,152,79,V
5'9,172,79,N
6'1,163,79,N
5'9,154,79,B
5'5,137,79,N
6'2,176,79,B
6'1,172,79,V
5'11,163,79,N
6'2,174,79,V
6'0,174,79,N
6'0,159,79,B
6'0,172,79,N
6'1,183,79,V
6'0,165,79,V
5'8,150,79,V
5'8,154,79,N
5'9,163,79,V
5'8,157,79,V
5'9,154,79,V
5'11,165,79,B
6'0,187,79,B
6'1,163,79,V
5'10,163,79,N
6'0,154,79,V
6'1,174,79,B
5'9,152,79,V
6'0,170,79,B
6'3,212,79,B
6'4,172,79,B
6'0,194,79,N
5'10,154,79,V
5'11,157,79,V
5'9,176,79,B
5'7,150,79,V
6'2,172,79,B
6'2,176,79,B
6'0,168,79,B
6'0,170,79,V
6'0,179,79,B
6'0,172,79,B
6'0,179,79,B
5'10,172,79,N
6'0,159,79,N
6'5,176,79,V
5'10,154,79,V
6'1,181,79,V
5'9,159,79,V
6'4,192,79,V
5'10,159,79,V
6'0,172,79,B
6'1,192,79,V
5'10,161,79,N
5'11,181,79,B
6'2,170,79,V
5'11,146,79,N
6'1,157,79,B
5'9,159,79,V
5'10,165,79,V
5'7,137,79,B
6'0,172,79,N
5'9,159,79,V
6'1,174,79,N
5'11,176,79,N
5'9,148,79,B
6'0,176,79,B
6'0,181,79,B
6'3,201,79,V
5'8,150,79,V
6'4,190,79,B
5'10,163,79,V
5'8,154,79,N
5'10,165,79,V
5'10,154,79,B
6'0,176,79,V
5'8,165,79,B
5'10,179,79,V
6'2,176,79,N
5'10,152,79,B
5'9,165,79,V
6'0,168,79,V
5'11,183,79,B
6'2,185,79,N
6'2,183,79,B
6'2,194,79,B
5'10,159,79,N
5'9,161,79,N
5'8,150,79,N
6'1,165,79,V
6'2,187,79,V
5'11,161,79,V
6'0,181,79,B
5'9,150,79,V
5'10,165,79,N
5'10,163,79,V
6'2,185,79,B
5'8,165,79,V
6'0,170,79,V
5'10,185,79,V
5'9,143,79,B
5'9,159,79,N
5'9,172,79,V
6'2,170,79,N
6'0,168,79,B
6'4,181,79,N
5'7,159,79,V
6'2,181,78,N
6'1,174,78,B
5'9,154,78,N
5'9,148,78,V
5'11,161,78,B
5'5,141,78,N
5'6,154,78,V
5'11,152,78,B
5'10,154,78,V
5'9,165,78,B
5'9,157,78,V
6'0,170,78,V
6'1,170,78,V
6'2,181,78,N
5'4,143,78,V
5'8,165,78,V
5'10,172,78,V
6'0,174,78,B
6'2,170,78,B
5'10,161,78,N
6'0,163,78,V
6'3,183,78,N
5'8,154,78,V
6'6,185,78,N
6'3,190,78,N
5'9,174,78,V
5'11,170,78,V
5'8,154,78,B
6'1,190,78,B
5'9,157,78,B
5'11,179,78,N
5'11,170,78,B
5'7,141,78,V
5'9,159,78,V
5'9,152,78,B
5'11,157,78,B
5'9,163,78,B
6'0,170,78,B
6'4,192,78,B
6'2,194,78,N
6'2,170,78,V
5'10,163,78,V
6'1,196,78,B
5'10,157,78,V
6'1,161,78,B
6'1,165,78,V
5'10,150,78,B
6'2,172,78,V
6'3,179,78,B
6'0,187,78,V
6'2,194,78,B
5'8,150,78,V
5'8,152,78,N
5'10,170,78,B
5'10,154,78,V
6'2,181,78,B
6'0,154,78,B
6'1,168,78,N
6'1,176,78,V
5'11,161,78,V
6'4,172,78,N
5'8,148,78,V
6'0,163,78,V
6'0,172,78,B
5'11,159,78,N
6'0,165,78,B
6'2,187,78,N
6'0,172,78,V
6'2,183,78,N
5'10,157,78,V
6'2,179,78,N
5'11,176,78,N
5'10,159,78,B
5'8,159,78,V
5'9,163,78,V
6'2,196,78,B
5'11,172,78,V
6'0,165,78,B
5'10,170,78,N
5'9,176,78,V
5'7,141,78,V
6'0,161,78,V
6'1,172,78,B
6'2,170,78,B
6'2,187,78,V
5'10,168,78,B
6'1,179,78,V
6'1,174,78,N
6'1,170,78,B
5'10,165,78,V
6'2,196,78,B
6'1,187,78,V
5'7,152,78,V
5'11,165,78,V
5'7,176,78,V
6'1,192,78,B
5'10,154,78,N
5'9,168,78,B
5'10,170,78,N
5'8,152,78,V
5'11,172,78,V
6'0,190,78,V
5'10,146,78,N
5'11,172,78,B
6'2,161,78,V
6'2,201,78,N
5'7,143,78,V
5'9,159,78,V
5'11,170,78,V
6'0,163,78,V
6'5,201,78,N
6'1,181,78,V
6'0,165,78,V
6'4,163,78,B
6'0,176,78,V
5'10,174,78,V
5'10,165,78,V
5'8,165,78,B
6'1,181,78,B
6'0,183,78,N
6'0,163,78,V
5'8,154,78,V
5'8,146,77,V
6'2,168,77,V
5'8,159,77,V
5'11,159,77,B
6'0,163,77,V
6'3,181,77,B
5'8,143,77,V
6'0,187,77,V
6'2,181,77,V
6'2,181,77,B
6'0,185,77,B
5'9,165,77,V
5'7,148,77,V
5'11,161,77,N
6'4,187,77,N
6'3,201,77,N
5'11,174,77,B
5'11,165,77,V
6'2,176,77,V
6'2,170,77,V
6'0,174,77,V
5'9,161,77,V
5'11,157,77,V
5'9,148,77,V
5'11,159,77,N
5'8,168,77,V
5'10,176,77,N
5'11,161,77,V
5'9,154,77,B
5'8,154,77,V
5'9,157,77,V
6'1,161,77,B
5'11,159,77,N
5'7,143,77,B
6'2,174,77,V
5'11,172,77,V
5'7,154,77,B
6'3,190,77,B
6'1,183,77,B
6'2,172,77,B
5'8,157,77,V
6'4,174,77,N
6'2,157,77,B
5'11,163,77,V
6'0,179,77,V
6'3,194,77,N
5'11,172,77,V
5'11,170,77,N
5'10,157,77,V
6'2,185,77,V
6'1,185,77,N
6'2,181,77,N
6'1,216,77,N
5'9,159,77,V
5'8,150,77,B
6'1,183,77,N
5'10,161,77,B
6'4,190,77,B
5'10,172,77,B
5'10,165,77,V
5'6,132,77,N
5'7,150,77,N
5'10,205,77,N
5'10,170,77,V
6'2,187,77,B
6'0,163,77,V
6'0,181,77,B
5'10,168,77,V
6'0,172,77,V
5'11,172,77,V
5'10,150,77,V
6'0,168,77,V
6'0,163,77,V
5'9,159,77,V
6'0,170,77,V
6'2,185,77,N
5'9,170,77,N
5'11,168,77,V
6'0,159,77,B
5'10,163,77,B
5'9,152,77,N
5'11,176,77,N
5'11,159,77,V
5'6,137,77,V
5'11,157,77,V
6'2,172,77,N
6'0,181,77,V
6'2,201,77,V
6'0,176,77,B
6'2,159,77,N
6'0,157,77,V
6'0,165,77,N
5'7,148,77,N
5'8,157,77,B
6'0,172,77,B
5'7,143,77,N
5'8,146,77,V
5'11,170,77,N
6'3,172,77,N
6'3,187,77,B
6'1,165,77,V
6'2,196,77,B
6'1,163,77,B
6'0,176,77,B
5'11,161,77,B
6'1,165,77,B
6'2,203,77,N
5'10,159,77,N
6'1,183,77,V
6'4,183,77,B
5'11,165,77,V
5'10,168,77,V
5'8,161,77,V
5'11,163,77,B
6'1,165,77,V
6'1,194,77,B
6'1,174,77,V
6'1,187,77,N
5'10,154,77,N
6'2,179,77,V
6'0,176,77,N
5'10,159,77,V
6'3,176,77,V
6'2,190,77,B
6'1,165,77,N
6'4,181,77,N
5'10,159,77,B
5'11,168,77,V
5'9,157,77,B
6'0,172,77,N
5'11,165,77,V
6'3,176,77,B
6'0,181,77,N
6'4,185,77,B
6'0,176,77,V
5'11,192,77,B
6'1,185,77,V
5'9,143,77,V
6'3,192,77,B
5'8,148,77,B
6'5,196,77,B
6'3,194,77,V
6'3,198,77,B
5'9,176,77,V
6'2,181,77,N
5'9,163,77,V
5'9,159,77,N
6'1,176,77,N
5'9,154,77,N
6'1,165,77,B
5'10,190,77,V
5'10,152,77,N
6'4,172,77,B
6'1,176,77,B
6'0,163,77,V
6'2,190,77,N
5'9,137,77,V
6'1,163,77,V
6'1,168,77,B
5'11,163,77,V
5'9,159,77,B
5'8,141,77,V
6'4,203,77,B
5'10,143,77,B
6'1,172,77,N
6'1,168,77,B
5'9,159,77,V
6'2,194,77,V
5'11,176,77,V
6'3,207,77,N
6'3,187,77,N
6'0,181,77,V
5'4,132,77,V
5'9,163,77,V
6'0,183,77,B
6'0,183,77,B
5'3,134,77,V
5'9,165,77,V
6'3,187,77,B
5'7,143,77,V
6'0,163,77,V
5'7,150,77,N
5'11,159,77,B
6'0,174,77,B
5'9,168,77,V
5'9,143,77,V
5'9,161,77,N
5'11,168,77,V
6'1,187,77,B
6'2,159,77,V
6'0,181,77,B
5'11,172,77,B
6'4,203,77,B
5'11,168,77,V
6'2,174,77,B
6'0,163,77,V
5'11,176,77,B
5'9,170,77,N
6'1,165,77,N
6'2,176,77,V
5'10,168,77,V
6'1,165,77,V
5'10,168,77,V
5'8,172,77,V
5'8,132,77,V
5'11,174,77,V
5'8,150,77,V
5'9,152,77,B
6'2,185,77,B
6'2,170,77,V
5'9,154,77,V
6'1,190,77,B
6'1,174,77,B
5'8,165,77,V
6'3,190,77,V
5'11,172,77,N
6'0,161,77,N
6'1,170,77,B
5'9,161,77,V
6'1,176,77,B
6'0,179,77,N
6'1,161,77,N
5'10,154,77,B
5'10,163,77,V
5'7,143,77,B
5'8,161,77,V
6'0,165,77,V
6'0,165,76,B
5'8,152,76,V
6'3,183,76,B
6'1,170,76,V
5'11,168,76,N
5'9,148,76,B
5'9,146,76,N
5'8,139,76,N
5'9,141,76,V
6'0,165,76,V
6'2,176,76,V
5'10,157,76,N
6'2,163,76,B
5'7,148,76,B
6'1,172,76,V
6'3,187,76,B
6'2,185,76,V
5'10,159,76,V
5'10,161,76,N
5'5,132,76,N
6'0,176,76,B
5'11,146,76,V
6'2,181,76,V
6'1,176,76,N
6'0,163,76,B
5'9,137,76,N
5'11,154,76,B
5'7,152,76,V
6'0,170,76,N
5'9,148,76,V
6'0,192,76,V
5'9,157,76,V
5'11,163,76,V
6'0,165,76,V
5'11,165,76,B
6'0,163,76,B
5'9,152,76,V
5'10,170,76,B
5'9,154,76,V
5'10,159,76,N
6'0,172,76,V
6'2,172,76,V
6'2,183,76,V
6'2,176,76,B
5'9,150,76,N
6'0,181,76,V
6'4,194,76,B
6'2,170,76,B
6'0,172,76,N
5'11,181,76,B
5'10,163,76,V
5'7,150,76,V
5'10,168,76,V
5'10,161,76,N
6'3,183,76,N
5'6,161,76,N
5'8,146,76,V
6'1,163,76,B
6'2,190,76,N
5'9,157,76,B
5'9,168,76,V
5'8,159,76,V
5'10,161,76,V
6'1,183,76,B
5'7,165,76,N
6'1,181,76,V
6'2,194,76,V
5'10,159,76,N
5'9,165,76,V
6'2,165,76,V
6'0,161,76,V
5'9,146,76,V
5'10,168,76,V
5'9,179,76,V
5'10,150,76,V
6'2,165,76,B
6'2,185,76,B
6'2,170,76,V
5'9,168,76,V
5'10,165,76,V
5'11,163,76,N
6'1,165,76,V
5'11,157,76,V
5'8,141,76,V
5'7,143,76,V
6'2,181,76,B
5'11,165,76,V
6'1,168,76,V
6'0,157,76,N
6'4,192,76,B
6'0,170,76,N
5'9,148,76,B
6'2,176,76,V
6'2,183,76,N
6'4,201,76,B
5'8,154,76,N
6'0,172,76,B
6'0,176,76,N
6'4,203,76,N
5'9,172,76,B
6'0,161,76,N
6'3,176,76,B
6'2,172,76,B
6'0,170,76,V
5'2,123,76,V
6'0,168,76,V
5'11,163,76,N
6'1,168,76,V
6'1,194,76,B
6'2,172,76,N
5'9,163,76,V
6'0,174,76,B
5'10,159,76,N
5'9,161,76,V
6'0,172,76,V
6'2,190,76,B
6'2,183,76,N
6'2,187,76,B
6'2,185,76,V
5'10,152,76,N
5'11,157,76,N
5'11,172,76,V
5'11,174,76,V
6'2,183,76,B
5'11,154,76,V
5'10,172,76,V
6'0,174,76,V
6'2,192,76,B
5'10,159,76,N
6'0,181,76,B
6'0,168,76,V
5'6,141,76,N
5'10,176,76,V
5'10,154,76,B
5'11,157,76,V
6'0,172,76,N
6'2,174,76,N
6'3,194,76,B
5'11,185,76,N
5'11,154,76,B
6'0,179,76,N
6'0,179,76,V
6'4,185,76,B
6'2,185,76,B
5'9,150,76,N
6'1,187,76,B
6'0,165,76,B
5'10,168,76,N
5'7,148,76,V
6'2,176,76,B
6'0,174,76,V
6'3,187,76,N
5'11,159,76,N
5'11,185,76,B
5'6,137,76,V
6'0,165,76,N
5'11,159,76,B
6'0,161,76,V
5'5,146,76,V
6'1,185,76,V
6'2,196,76,N
5'8,154,76,B
6'1,165,76,N
6'0,174,76,B
6'1,190,76,N
6'1,183,76,B
6'5,179,76,B
6'3,196,76,B
6'5,190,76,B
5'10,161,76,V
5'8,139,76,V
5'8,150,76,B
5'11,179,76,B
5'9,163,76,V
6'4,183,76,N
6'0,172,76,V
5'9,134,76,B
5'10,165,76,N
5'11,172,76,V
6'1,157,76,V
6'0,183,76,B
6'3,190,76,N
5'10,159,76,N
6'0,163,76,V
6'0,170,76,B
5'10,181,76,B
5'5,139,76,V
5'8,154,76,B
6'1,172,76,B
5'11,157,76,B
5'9,163,76,V
5'6,128,76,V
5'9,146,76,B
5'9,161,76,V
6'2,196,76,B
6'2,183,76,V
5'10,159,76,N
6'0,168,76,V
6'0,154,76,V
5'9,150,76,V
5'10,161,76,V
5'8,154,76,V
5'9,170,76,V
6'1,194,76,B
5'10,168,76,N
5'6,148,76,B
5'10,163,76,V
6'0,161,76,V
5'10,165,76,B
5'7,146,76,V
5'10,161,76,B
5'10,163,76,B
5'9,150,76,B
6'0,196,76,B
6'0,168,76,V
6'0,170,76,V
6'0,179,76,V
5'10,146,76,V
6'2,170,76,B
5'9,161,76,N
5'8,168,76,V
5'5,141,76,V
6'2,183,76,B
6'2,198,76,V
6'4,194,76,B
5'9,161,76,V
6'4,172,76,B
6'0,176,76,N
6'0,168,76,B
5'10,168,76,V
5'10,152,76,V
6'1,185,76,B
6'2,176,76,B
5'10,159,76,N
5'11,163,76,V
6'1,183,76,N
5'10,159,76,V
6'2,181,76,V
6'0,179,76,B
5'9,157,76,N
5'10,165,76,B
5'11,172,76,V
5'9,159,76,V
5'9,143,76,B
6'1,161,76,N
5'7,137,76,N
5'10,165,76,N
6'2,174,76,V
6'1,161,76,N
5'11,174,76,B
5'9,154,76,V
5'8,165,76,B
5'11,172,76,V
6'3,194,76,B
6'2,187,76,B
5'9,161,76,V
6'2,181,76,B
5'5,134,76,V
5'9,161,76,V
5'9,159,76,V
6'0,163,76,B
5'11,154,76,V
6'5,207,76,V
6'1,172,76,B
5'10,181,76,V
6'0,168,76,B
5'7,148,76,V
5'9,154,76,V
6'0,170,75,V
6'2,181,75,B
5'7,154,75,B
6'4,174,75,B
5'9,154,75,V
5'9,172,75,V
5'9,163,75,V
6'1,179,75,B
6'1,187,75,V
5'10,168,75,V
6'0,168,75,V
5'11,168,75,V
5'7,148,75,V
6'2,168,75,B
5'10,159,75,V
5'11,170,75,N
5'11,161,75,N
6'0,181,75,B
6'2,185,75,V
6'4,185,75,V
6'5,205,75,B
5'9,150,75,V
6'0,165,75,V
6'3,181,75,V
6'4,172,75,V
6'2,176,75,N
5'11,168,75,V
5'10,161,75,V
5'10,154,75,B
5'7,141,75,V
5'9,141,75,V
6'3,194,75,B
5'11,161,75,V
6'0,159,75,V
5'11,152,75,V
6'2,174,75,B
5'5,150,75,V
6'0,185,75,B
5'9,146,75,N
5'7,172,75,V
6'0,185,75,V
5'6,128,75,V
5'10,143,75,B
5'10,148,75,V
6'2,176,75,V
5'11,168,75,B
6'0,165,75,V
6'0,170,75,V
6'1,179,75,B
6'0,170,75,B
5'10,159,75,V
6'4,194,75,N
5'11,148,75,V
6'3,192,75,N
6'1,181,75,B
6'2,181,75,B
5'9,154,75,V
6'0,192,75,B
5'11,170,75,V
6'2,192,75,B
5'7,132,75,N
5'9,176,75,N
5'10,168,75,B
5'10,150,75,V
6'2,196,75,B
6'0,170,75,V
6'0,176,75,V
6'0,165,75,V
5'10,168,75,B
6'1,185,75,B
5'7,132,75,V
6'3,194,75,B
5'3,150,75,V
6'1,159,75,V
6'0,170,75,V
5'9,163,75,V
6'0,165,75,V
5'11,165,75,V
5'10,150,75,B
5'8,172,75,N
5'10,154,75,B
5'7,141,75,V
5'9,143,75,V
6'2,165,75,V
5'8,152,75,V
6'2,174,75,B
6'1,163,75,V
5'8,154,75,V
5'10,143,75,V
5'9,150,75,V
5'9,159,75,V
6'0,181,75,B
5'8,165,75,V
5'11,172,75,B
5'11,163,75,N
6'1,161,75,N
5'10,157,75,V
5'9,154,75,V
5'10,161,75,V
5'11,168,75,V
5'7,150,75,V
5'9,159,75,V
5'6,139,75,V
5'11,176,75,N
6'1,194,75,V
5'10,174,75,V
6'1,192,75,N
6'1,183,75,B
5'10,176,75,N
6'0,187,75,N
6'2,181,75,B
6'1,185,75,V
6'1,176,75,B
5'10,161,75,V
6'1,165,75,B
6'1,187,75,B
6'0,181,75,N
6'1,154,75,V
5'10,168,75,V
5'9,161,75,V
6'0,168,75,V
5'10,176,75,B
6'1,172,75,B
5'10,143,75,V
6'0,172,75,B
5'11,165,75,B
6'1,168,75,B
5'7,137,75,V
5'8,157,75,V
6'0,176,75,V
5'9,159,75,V
6'0,159,75,B
5'9,141,75,V
5'8,150,75,V
6'0,165,75,V
5'10,165,75,V
6'0,176,75,B
6'2,181,75,B
5'11,159,75,B
6'0,179,75,N
6'1,170,75,B
5'10,170,75,V
5'9,161,75,V
6'0,168,75,V
5'7,143,75,V
6'3,179,75,N
5'10,168,75,V
5'9,154,75,V
5'9,163,75,B
6'0,161,75,N
5'9,172,75,N
6'1,190,75,N
5'11,165,75,V
6'0,179,75,N
5'7,143,75,N
5'6,148,75,V
5'7,141,75,V
6'2,190,75,V
6'2,179,75,N
5'10,154,75,V
5'9,154,75,N
6'0,172,75,N
6'0,172,75,V
6'3,187,75,N
6'1,172,75,B
6'1,176,75,B
5'9,157,75,B
6'3,176,75,N
5'11,161,75,B
6'1,154,75,V
6'2,174,75,V
5'10,163,75,V
5'5,128,75,V
5'10,154,75,N
5'6,143,75,N
6'0,179,75,B
5'10,154,75,N
6'2,183,75,B
6'1,176,75,V
6'1,165,75,V
5'11,163,75,N
5'9,152,75,V
5'8,150,75,V
6'1,152,75,V
6'2,185,75,B
6'2,176,75,B
5'9,157,75,N
5'11,176,75,V
5'10,159,75,B
5'9,157,75,N
6'2,181,75,V
6'5,205,75,B
6'0,183,75,N
5'11,161,75,N
5'9,154,75,B
5'10,157,75,B
5'8,146,75,V
6'1,192,75,B
6'3,190,75,B
6'0,165,75,N
6'1,183,75,V
6'4,187,75,B
5'9,154,75,V
6'5,198,75,B
6'0,190,75,V
5'9,150,75,V
6'4,187,75,B
6'0,161,75,V
6'0,170,75,B
6'2,181,75,V
5'11,159,75,B
5'10,159,75,V
6'1,174,75,B
5'11,165,75,N
6'1,176,75,V
5'9,163,75,V
5'11,187,75,N
5'7,134,75,V
5'9,154,75,V
5'10,154,75,B
5'11,176,75,V
5'10,172,75,V
6'0,176,75,B
5'9,165,75,B
5'10,174,75,V
6'0,165,75,V
6'4,172,75,N
5'8,146,75,N
5'10,163,75,B
5'10,168,75,B
5'9,157,75,V
5'10,150,75,V
6'2,172,75,B
6'0,170,75,B
5'9,157,75,V
5'11,154,75,V
5'10,159,75,B
5'10,154,75,B
5'9,143,75,V
5'6,134,75,V
5'9,152,75,V
6'0,163,75,B
6'1,168,75,V
6'3,198,75,N
5'10,170,75,B
6'2,165,75,N
6'6,183,75,B
6'1,183,75,V
6'3,170,75,V
5'9,172,75,V
5'11,179,75,B
5'8,143,75,B
5'8,148,75,V
5'10,159,75,N
6'0,148,75,V
6'0,185,75,B
6'3,168,75,B
5'10,152,75,V
5'11,181,75,V
6'1,223,75,B
6'0,181,75,B
5'7,159,75,V
5'10,165,75,V
6'2,179,75,N
5'9,159,75,V
6'0,168,75,B
6'0,170,75,V
6'3,181,75,N
6'0,170,75,B
5'7,154,75,V
6'0,176,75,N
