Overall,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,pozicija
80,74,74,74,77,77,77,77,77,79,79,79,78,81,81,81,78,79,81,81,81,79,78,76,76,76,78,85,69,60,85,72,72,86,83,87,83,69,76,71,78,65,83,67,74,72,77,83,85,76,86,84,81,77,78,77,10,10,6,6,12,B
79,61,61,61,66,63,63,63,66,64,64,64,68,67,67,67,68,77,74,74,74,77,77,76,76,76,77,77,34,70,73,44,73,60,54,59,76,77,78,72,71,78,66,75,83,64,45,82,80,53,55,46,70,77,79,82,7,10,12,10,6,B
79,68,68,68,72,70,70,70,72,72,72,72,74,74,74,74,74,78,77,77,77,78,78,76,76,76,78,79,55,71,78,51,74,65,65,74,77,75,77,67,80,67,69,66,82,76,61,71,81,62,72,65,78,76,79,79,9,10,10,12,14,B
79,52,52,52,49,50,50,50,49,51,51,51,52,57,57,57,52,65,70,70,70,65,68,77,77,77,68,38,38,83,66,33,53,28,32,56,58,51,53,48,74,56,37,90,67,85,29,79,77,34,42,41,68,76,83,77,15,12,15,10,6,B
79,62,62,62,71,68,68,68,71,70,70,70,73,73,73,73,73,78,74,74,74,78,77,72,72,72,77,79,27,60,76,53,79,68,66,72,76,88,83,88,78,89,69,92,91,54,73,73,77,59,64,60,73,71,76,76,13,5,9,8,14,B
79,75,75,75,78,77,77,77,78,77,77,77,78,77,77,77,78,77,75,75,75,77,75,72,72,72,75,83,72,65,78,68,81,80,61,70,80,77,78,76,79,74,78,76,85,70,81,74,76,75,77,83,76,70,72,68,12,10,13,6,14,B
79,59,59,59,53,55,55,55,53,52,52,52,53,57,57,57,53,65,70,70,70,65,68,77,77,77,68,40,48,82,64,40,54,46,25,58,66,52,52,34,77,48,54,84,55,77,50,82,80,50,22,35,72,78,82,78,7,9,13,10,15,B
79,71,71,71,75,74,74,74,75,74,74,74,76,75,75,75,76,78,76,76,76,78,77,75,75,75,77,77,53,64,77,59,80,77,51,70,78,84,78,79,80,83,72,82,82,73,62,85,79,79,72,58,76,73,77,77,14,7,6,12,8,B
79,65,65,65,70,68,68,68,70,68,68,68,72,70,70,70,72,78,75,75,75,78,77,75,75,75,77,82,50,68,76,43,77,74,66,70,78,78,76,73,76,69,59,70,78,70,54,73,77,63,51,52,76,76,81,80,11,13,15,10,15,B
78,66,66,66,73,71,71,71,73,72,72,72,73,71,71,71,73,77,72,72,72,77,76,69,69,69,76,78,45,60,76,55,76,54,49,59,74,88,86,86,80,90,78,59,76,33,68,73,75,69,68,49,76,75,77,76,13,13,16,8,9,B
78,66,66,66,70,69,69,69,70,69,69,69,73,71,71,71,73,77,73,73,73,77,76,73,73,73,76,76,43,64,73,42,76,67,64,68,77,81,82,70,75,71,69,77,84,68,38,68,74,74,66,52,68,74,76,79,10,7,14,7,10,B
78,58,58,58,65,61,61,61,65,63,63,63,68,67,67,67,68,77,74,74,74,77,76,74,74,74,76,79,30,64,75,58,73,76,48,68,74,81,77,83,74,78,62,69,81,64,48,78,77,42,50,48,74,78,78,77,8,14,15,12,7,B
78,72,72,72,76,75,75,75,76,75,75,75,77,75,75,75,77,77,75,75,75,77,76,74,74,74,76,74,62,69,76,43,81,71,35,75,78,88,86,78,78,78,69,78,82,76,64,77,75,75,73,49,78,69,75,76,7,16,9,10,9,B
78,61,61,61,55,58,58,58,55,57,57,57,57,61,61,61,57,67,70,70,70,67,69,77,77,77,69,43,51,86,73,41,60,38,30,52,53,45,62,53,72,34,70,70,79,87,50,80,73,48,54,53,80,79,79,75,10,8,12,9,12,B
78,59,59,59,61,60,60,60,61,61,61,61,64,65,65,65,64,73,72,72,72,73,74,76,76,76,74,67,27,74,72,40,67,63,44,65,72,72,74,71,70,62,67,91,71,79,52,75,76,49,49,42,73,77,80,79,8,14,12,11,12,B
78,55,55,55,50,54,54,54,50,54,54,54,54,62,62,62,54,65,73,73,73,65,67,76,76,76,67,32,37,76,71,24,60,23,39,74,68,38,50,47,79,42,72,72,64,82,21,80,78,30,45,36,72,80,76,78,15,16,9,12,6,B
78,57,57,57,56,57,57,57,56,58,58,58,57,62,62,62,57,68,72,72,72,68,71,76,76,76,71,44,28,76,66,30,58,41,70,68,66,66,68,63,78,66,75,76,53,69,62,78,82,40,50,64,74,77,82,80,11,12,16,16,8,B
78,70,70,70,71,70,70,70,71,70,70,70,72,72,72,72,72,76,75,75,75,76,76,76,76,76,76,83,57,74,76,50,73,69,71,69,77,74,76,71,74,73,82,73,79,73,72,89,71,62,64,57,72,75,80,77,15,13,13,14,16,B
78,61,61,61,62,61,61,61,62,62,62,62,63,64,64,64,63,73,72,72,72,73,74,76,76,76,74,69,37,76,67,65,60,68,41,65,66,76,78,79,73,74,70,91,69,72,59,78,80,50,58,50,76,80,78,77,2,3,4,2,4,B
78,60,60,60,59,60,60,60,59,61,61,61,61,66,66,66,61,68,73,73,73,68,69,76,76,76,69,61,48,76,74,47,58,39,54,75,64,47,54,60,71,68,66,92,59,77,50,85,76,57,62,62,79,79,77,78,14,10,15,15,12,B
77,68,68,68,71,69,69,69,71,69,69,69,73,68,68,68,73,76,71,71,71,76,75,73,73,73,75,74,50,67,73,33,78,60,34,57,76,86,88,85,71,75,67,86,89,81,54,72,72,71,54,55,70,66,75,76,7,15,13,9,7,B
77,52,52,52,49,50,50,50,49,52,52,52,53,59,59,59,53,66,71,71,71,66,70,76,76,76,70,32,37,79,71,32,42,40,31,63,53,64,72,51,70,41,50,70,79,80,30,76,75,32,51,47,72,79,82,78,14,8,12,16,13,B
77,51,51,51,42,47,47,47,42,48,48,48,47,59,59,59,47,62,72,72,72,62,65,75,75,75,65,21,23,81,73,23,34,49,31,68,68,32,35,31,79,32,66,65,71,88,22,81,78,36,35,42,69,61,81,80,12,9,8,13,8,B
77,51,51,51,51,52,52,52,51,54,54,54,55,60,60,60,55,67,72,72,72,67,70,76,76,76,70,30,22,78,74,33,55,34,33,62,69,69,68,67,76,74,48,81,67,72,27,75,79,25,38,51,63,76,78,77,15,12,11,8,8,B
77,70,70,70,69,69,69,69,69,68,68,68,71,70,70,70,71,75,74,74,74,75,75,75,75,75,75,77,55,74,75,57,72,66,43,73,73,74,79,54,74,52,76,69,79,82,60,83,68,71,55,50,71,74,79,79,12,7,8,11,12,B
77,67,67,67,70,70,70,70,70,70,70,70,71,72,72,72,71,76,75,75,75,76,75,75,75,75,75,77,57,62,75,57,75,70,50,70,75,70,69,70,74,83,76,75,74,63,60,86,78,70,65,65,76,76,79,82,16,8,6,10,9,B
77,67,67,67,69,68,68,68,69,69,69,69,71,70,70,70,71,76,73,73,73,76,75,72,72,72,75,77,50,62,73,66,70,77,55,69,74,79,79,78,73,80,82,75,83,68,68,69,78,63,63,50,67,72,73,77,6,15,16,8,8,B
77,49,49,49,48,47,47,47,48,47,47,47,50,52,52,52,50,66,67,67,67,66,69,76,76,76,69,40,25,74,54,33,54,38,17,54,58,69,71,72,73,79,52,80,61,73,25,85,78,23,30,35,74,79,81,79,13,11,13,11,6,B
77,60,60,60,59,61,61,61,59,62,62,62,62,66,66,66,62,69,73,73,73,69,71,76,76,76,71,42,42,74,71,38,66,37,39,69,70,54,73,62,75,56,55,71,72,78,45,76,78,52,57,48,72,79,79,76,11,12,12,13,13,B
77,61,61,61,66,65,65,65,66,68,68,68,68,73,73,73,68,74,76,76,76,74,74,75,75,75,74,74,45,66,80,57,67,70,63,75,74,53,55,69,79,72,54,74,70,68,53,73,78,62,75,61,83,81,79,80,10,12,10,15,9,B
77,57,57,57,60,59,59,59,60,61,61,61,64,66,66,66,64,72,73,73,73,72,73,75,75,75,73,64,32,77,72,49,62,55,40,69,70,65,72,63,74,61,54,72,74,76,29,69,77,49,63,55,71,79,76,78,10,10,15,9,6,B
77,72,72,72,75,74,74,74,75,74,74,74,75,73,73,73,75,72,69,69,69,72,71,66,66,66,71,80,70,59,72,66,78,81,79,75,76,79,78,74,74,76,78,73,74,64,75,58,66,73,77,72,74,63,68,71,12,8,13,7,7,B
77,71,71,71,69,68,68,68,69,67,67,67,70,70,70,70,70,75,74,74,74,75,75,75,75,75,75,78,71,80,74,68,63,45,55,73,74,69,76,66,67,57,72,80,85,79,66,69,75,67,55,59,71,75,78,77,12,8,9,10,11,B
77,55,55,55,57,56,56,56,57,58,58,58,60,62,62,62,60,68,71,71,71,68,70,76,76,76,70,47,39,71,72,21,59,32,28,66,64,73,85,61,67,62,44,86,61,88,24,81,75,35,56,39,68,68,84,75,6,7,8,15,9,B
77,64,64,64,67,66,66,66,67,66,66,66,68,68,68,68,68,75,72,72,72,75,75,74,74,74,75,78,42,75,76,42,68,72,67,61,76,69,75,72,77,66,69,69,74,66,57,69,78,60,56,45,67,70,76,80,12,13,10,16,13,B
77,52,52,52,49,52,52,52,49,54,54,54,53,62,62,62,53,66,72,72,72,66,68,75,75,75,68,35,35,81,79,13,38,28,35,60,70,41,63,32,72,33,48,70,71,78,27,79,75,32,54,37,65,65,81,78,11,8,11,8,13,B
77,55,55,55,54,53,53,53,54,55,55,55,56,61,61,61,56,68,72,72,72,68,69,76,76,76,69,61,41,68,68,45,57,36,41,68,60,49,63,54,69,34,75,76,67,90,57,86,77,22,52,45,73,77,79,75,15,16,10,15,6,B
77,55,55,55,53,53,53,53,53,54,54,54,56,60,60,60,56,68,72,72,72,68,70,76,76,76,70,44,37,80,72,39,52,44,42,63,63,63,64,53,75,58,57,70,75,74,37,78,77,34,40,52,68,81,78,74,7,7,14,6,6,B
77,54,54,54,52,52,52,52,52,54,54,54,55,58,58,58,55,66,70,70,70,66,68,76,76,76,68,50,32,75,70,23,48,43,35,58,60,57,69,55,71,45,52,62,58,93,21,79,76,43,52,56,76,72,78,78,7,8,15,10,9,B
77,71,71,71,78,76,76,76,78,77,77,77,78,76,76,76,78,77,75,75,75,77,76,72,72,72,76,78,63,65,79,59,85,69,52,68,83,85,77,85,78,78,58,67,79,64,61,69,75,74,79,58,80,71,74,74,13,15,10,13,9,B
76,66,66,66,70,68,68,68,70,69,69,69,71,70,70,70,71,75,73,73,73,75,75,73,73,73,75,72,48,68,73,47,71,66,52,65,75,78,80,76,77,74,67,71,80,67,59,72,75,68,65,63,73,73,77,76,6,11,8,9,15,B
76,53,53,53,47,49,49,49,47,50,50,50,49,58,58,58,49,62,69,69,69,62,65,74,74,74,65,30,38,79,66,28,42,33,39,69,57,50,46,52,74,49,58,67,61,78,35,68,79,37,39,37,71,76,79,75,14,10,16,10,9,B
76,50,50,50,48,50,50,50,48,51,51,51,52,57,57,57,52,64,69,69,69,64,66,74,74,74,66,28,25,76,64,19,50,18,26,60,58,61,66,50,70,44,48,76,73,86,22,82,75,34,49,42,70,73,75,75,15,8,6,10,8,B
76,53,53,53,53,53,53,53,53,54,54,54,56,59,59,59,56,67,69,69,69,67,69,74,74,74,69,45,35,76,66,27,57,32,34,56,62,60,63,65,73,65,50,90,78,80,33,70,79,34,44,44,70,77,75,72,7,9,7,14,16,B
76,64,64,64,68,66,66,66,68,67,67,67,69,68,68,68,69,74,71,71,71,74,74,73,73,73,74,80,52,68,76,35,69,59,55,58,75,69,75,71,74,77,54,84,74,76,56,73,75,61,59,51,66,62,77,79,15,11,15,12,14,B
76,67,67,67,69,69,69,69,69,69,69,69,70,70,70,70,70,75,74,74,74,75,75,74,74,74,75,69,55,68,76,59,74,69,35,66,75,73,73,77,76,76,69,68,75,64,56,74,77,64,63,45,76,77,79,78,6,7,7,12,7,B
76,56,56,56,60,57,57,57,60,57,57,57,63,60,60,60,63,74,70,70,70,74,74,74,74,74,74,76,28,74,77,30,62,57,60,55,73,71,72,66,71,69,50,60,74,71,30,70,69,48,31,40,64,77,79,80,10,12,14,11,9,B
76,69,69,69,73,72,72,72,73,73,73,73,74,73,73,73,74,75,74,74,74,75,75,72,72,72,75,77,58,60,74,57,78,65,48,68,75,76,78,78,79,80,70,78,77,65,65,74,75,76,72,67,78,74,78,73,8,13,10,13,10,B
76,74,74,74,77,76,76,76,77,76,76,76,77,75,75,75,77,76,74,74,74,76,74,71,71,71,74,80,67,62,74,76,80,84,84,74,79,78,79,77,78,70,82,79,85,66,80,88,70,79,72,74,77,66,73,73,11,12,10,7,13,B
76,49,49,49,43,45,45,45,43,46,46,46,46,55,55,55,46,60,68,68,68,60,62,75,75,75,62,30,25,82,61,20,51,25,33,63,60,35,33,33,70,34,59,77,64,91,40,76,76,23,32,42,67,77,78,70,15,12,13,14,15,B
76,63,63,63,54,58,58,58,54,56,56,56,55,61,61,61,55,64,69,69,69,64,66,75,75,75,66,38,53,86,70,36,50,68,76,68,62,49,54,52,71,34,80,86,69,85,67,76,72,55,35,48,56,75,75,71,13,10,6,15,12,B
76,61,61,61,60,58,58,58,60,58,58,58,61,60,60,60,61,70,69,69,69,70,71,74,74,74,71,67,51,74,68,43,60,45,30,60,66,71,68,67,69,66,65,82,69,75,39,83,75,49,39,44,66,74,76,77,15,13,10,10,12,B
76,66,66,66,71,70,70,70,71,69,69,69,72,69,69,69,72,75,70,70,70,75,74,68,68,68,74,80,49,59,68,50,75,68,69,64,76,77,79,79,75,79,74,71,77,48,68,66,73,73,62,53,66,72,73,77,13,11,13,13,10,B
76,58,58,58,56,56,56,56,56,56,56,56,57,59,59,59,57,67,69,69,69,67,68,75,75,75,68,56,45,77,61,38,57,30,25,66,65,69,64,68,67,64,76,82,62,86,47,81,75,31,51,45,69,76,76,74,14,11,13,16,10,B
76,68,68,68,73,72,72,72,73,71,71,71,74,70,70,70,74,76,71,71,71,76,75,69,69,69,75,77,60,58,73,37,77,58,37,55,77,88,84,75,71,71,68,56,88,64,55,69,68,72,68,42,72,69,76,75,14,6,13,15,6,B
76,49,49,49,45,46,46,46,45,46,46,46,49,54,54,54,49,65,68,68,68,65,68,74,74,74,68,36,40,73,57,34,31,34,27,64,42,69,74,41,72,36,48,71,79,86,30,68,82,24,51,36,75,79,78,74,15,13,12,15,7,B
76,57,57,57,53,54,54,54,53,55,55,55,54,59,59,59,54,64,69,69,69,64,67,75,75,75,67,40,50,80,58,50,50,48,35,62,62,67,64,60,69,60,64,91,64,80,49,88,77,28,58,51,78,77,74,70,15,12,13,9,6,B
76,50,50,50,47,49,49,49,47,51,51,51,50,58,58,58,50,63,70,70,70,63,65,74,74,74,65,35,26,79,63,28,49,33,48,59,61,38,36,59,74,63,50,81,73,78,29,82,78,40,49,47,71,75,74,78,11,7,11,7,11,B
76,65,65,65,70,69,69,69,70,70,70,70,71,71,71,71,71,75,72,72,72,75,75,71,71,71,75,74,43,64,74,43,76,64,66,63,74,77,80,72,74,69,72,49,76,65,68,66,74,68,69,48,72,74,78,76,8,9,15,9,6,B
76,67,67,67,71,70,70,70,71,70,70,70,73,70,70,70,73,76,72,72,72,76,75,72,72,72,75,75,49,59,72,27,75,72,52,64,73,87,91,73,72,74,79,65,88,75,66,82,71,64,70,36,74,72,73,74,13,16,8,12,13,B
76,51,51,51,54,52,52,52,54,54,54,54,58,61,61,61,58,70,71,71,71,70,71,74,74,74,71,68,20,73,67,25,53,34,33,71,63,60,69,61,75,57,44,63,73,83,27,79,76,39,51,56,67,77,73,75,11,15,13,10,10,B
76,53,53,53,55,55,55,55,55,57,57,57,59,62,62,62,59,68,71,71,71,68,70,75,75,75,70,52,30,75,72,27,62,33,30,61,67,58,61,58,70,67,48,75,68,76,27,72,77,40,57,38,79,77,78,76,14,11,10,14,13,B
76,42,42,42,40,42,42,42,40,44,44,44,45,52,52,52,45,60,68,68,68,60,64,74,74,74,64,18,17,77,59,23,37,35,29,54,63,49,55,45,65,51,27,75,73,85,15,83,71,20,41,30,60,76,78,76,14,14,5,10,8,B
76,66,66,66,69,68,68,68,69,68,68,68,72,70,70,70,72,75,74,74,74,75,75,74,74,74,75,75,49,80,76,49,76,52,58,69,77,75,75,73,73,67,62,89,81,67,39,70,81,66,61,51,71,74,74,68,7,6,14,7,14,B
76,65,65,65,71,69,69,69,71,70,70,70,73,71,71,71,73,75,72,72,72,75,74,70,70,70,74,79,50,59,77,53,78,73,49,66,77,78,78,76,79,71,62,65,75,68,46,61,76,62,66,59,74,69,74,70,8,9,13,12,14,B
76,50,50,50,49,48,48,48,49,49,49,49,52,55,55,55,52,67,69,69,69,67,69,75,75,75,69,44,28,78,67,24,42,38,37,60,60,60,79,59,71,44,41,65,79,87,31,82,68,28,32,33,68,75,75,79,8,7,7,14,13,B
75,48,48,48,44,47,47,47,44,48,48,48,47,56,56,56,47,61,68,68,68,61,64,73,73,73,64,34,20,74,62,19,44,49,21,64,60,38,41,49,72,63,68,69,48,67,40,70,81,29,46,35,68,77,80,76,11,6,8,9,5,B
75,49,49,49,44,45,45,45,44,45,45,45,47,52,52,52,47,61,66,66,66,61,64,74,74,74,64,41,28,75,66,31,40,29,27,51,57,45,48,31,72,32,56,68,56,92,24,75,68,28,30,20,69,76,77,73,7,12,7,16,12,B
75,70,70,70,75,73,73,73,75,74,74,74,76,73,73,73,76,75,71,71,71,75,74,69,69,69,74,76,55,61,74,61,83,71,48,70,79,87,86,77,75,82,75,69,78,69,71,65,67,68,71,49,74,65,74,73,8,7,10,7,7,B
75,50,50,50,47,50,50,50,47,52,52,52,50,60,60,60,50,62,70,70,70,62,64,74,74,74,64,44,20,74,68,37,47,46,44,66,66,34,32,34,68,36,62,67,54,81,48,75,76,45,47,48,73,74,80,74,14,8,16,6,15,B
75,61,61,61,65,63,63,63,65,64,64,64,68,68,68,68,68,74,72,72,72,74,74,72,72,72,74,78,41,71,70,50,67,76,33,69,72,73,75,68,71,69,61,78,85,71,54,78,74,54,62,44,69,68,76,74,15,10,7,6,11,B
75,60,60,60,62,61,61,61,62,62,62,62,64,66,66,66,64,73,72,72,72,73,73,73,73,73,73,69,37,66,72,53,59,56,42,69,69,68,69,68,75,68,70,83,78,75,55,65,78,55,55,54,69,76,75,78,8,7,11,8,9,B
75,60,60,60,55,58,58,58,55,59,59,59,57,64,64,64,57,64,70,70,70,64,66,74,74,74,66,40,38,78,71,34,59,43,66,72,60,54,65,50,67,45,86,71,63,90,65,80,70,46,58,39,71,72,76,72,11,16,16,12,13,B
75,52,52,52,50,50,50,50,50,51,51,51,53,56,56,56,53,65,68,68,68,65,67,74,74,74,67,38,36,72,60,36,48,36,27,62,61,67,67,65,70,59,52,83,69,78,34,84,75,28,44,32,66,77,74,76,11,7,13,14,6,B
75,63,63,63,66,65,65,65,66,64,64,64,67,64,64,64,67,73,69,69,69,73,73,70,70,70,73,75,50,62,66,43,65,60,35,51,71,78,76,72,72,66,66,74,79,66,44,67,75,68,60,55,69,75,71,76,12,14,8,15,11,B
75,67,67,67,71,69,69,69,71,68,68,68,71,69,69,69,71,74,70,70,70,74,73,68,68,68,73,78,43,60,74,44,77,53,71,66,79,77,77,75,77,72,80,67,74,52,77,65,75,75,41,55,72,73,69,70,8,15,8,7,14,B
75,72,72,72,74,74,74,74,74,73,73,73,73,72,72,72,73,71,70,70,70,71,70,66,66,66,70,73,71,52,73,67,74,69,76,70,74,79,79,74,75,72,84,72,72,67,77,60,72,74,71,72,67,62,71,66,11,7,14,11,8,B
75,48,48,48,38,41,41,41,38,38,38,38,39,44,44,44,39,54,61,61,61,54,58,73,73,73,58,25,36,78,45,35,45,19,18,45,49,32,46,32,60,32,72,68,33,93,22,73,79,20,25,33,73,76,78,74,8,7,10,10,14,B
75,57,57,57,60,59,59,59,60,61,61,61,63,67,67,67,63,73,75,75,75,73,74,76,76,76,74,62,35,66,72,37,62,43,40,70,68,64,64,67,80,73,48,84,74,72,44,77,82,52,57,51,80,80,80,79,11,6,7,6,13,B
75,49,49,49,45,47,47,47,45,47,47,47,48,55,55,55,48,63,69,69,69,63,66,74,74,74,66,30,29,74,65,24,49,46,41,60,55,43,49,42,71,35,60,76,66,69,41,72,82,26,33,43,68,75,81,79,12,5,7,6,8,B
75,50,50,50,53,53,53,53,53,57,57,57,57,63,63,63,57,66,72,72,72,66,67,74,74,74,67,44,21,74,72,27,64,24,28,70,66,53,53,59,71,61,40,64,65,79,25,74,76,35,59,35,69,74,77,76,13,10,15,12,11,B
75,58,58,58,66,62,62,62,66,63,63,63,68,64,64,64,68,74,68,68,68,74,74,69,69,69,74,78,21,65,66,33,75,67,21,58,75,78,91,79,75,78,53,67,78,65,42,62,70,58,51,22,68,69,74,72,11,7,9,13,15,B
75,70,70,70,73,72,72,72,73,72,72,72,74,71,71,71,74,73,71,71,71,73,73,71,71,71,73,76,64,68,74,48,73,50,61,70,72,87,83,77,71,78,71,76,79,68,68,77,66,71,71,53,72,75,70,72,8,8,11,10,9,B
