Name,pozicija,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Overall
H. Kane,N,86,86,86,82,84,84,84,82,82,82,82,81,79,79,79,81,65,66,66,66,65,62,60,60,60,62,75,94,85,80,84,80,78,68,82,84,68,72,71,91,71,88,78,89,84,85,76,35,93,80,90,89,56,36,38,8,10,11,14,11,89
A. Griezmann,V,86,86,86,87,87,87,87,87,86,86,86,86,80,80,80,86,70,67,67,67,70,67,61,61,61,67,82,90,84,83,87,88,84,78,76,90,88,85,90,90,80,80,90,83,62,82,69,35,91,83,79,87,59,47,48,14,8,14,13,14,89
Sergio Busquets,V,71,71,71,74,76,76,76,74,79,79,79,76,83,83,83,76,79,86,86,86,79,78,82,82,82,78,62,67,68,89,44,80,66,68,82,88,50,52,66,87,52,61,66,86,77,54,85,87,77,87,60,90,90,86,80,5,8,13,9,13,89
E. Cavani,N,85,85,85,81,83,83,83,81,80,80,80,79,75,75,75,79,67,65,65,65,67,65,63,63,63,65,70,89,89,78,90,80,77,76,52,82,75,76,77,91,59,87,88,92,78,79,84,48,93,77,85,82,52,45,39,12,5,13,13,10,89
S. Agüero,N,86,86,86,86,87,87,87,86,85,85,85,83,76,76,76,83,58,56,56,56,58,53,47,47,47,53,70,93,77,81,85,89,82,73,64,89,88,80,86,90,91,88,81,76,73,83,65,24,92,83,83,90,30,20,12,13,15,6,11,14,89
G. Chiellini,B,58,58,58,54,55,55,55,54,54,54,54,56,60,60,60,56,74,76,76,76,74,77,86,86,86,77,58,33,83,59,45,58,60,31,59,57,63,75,54,82,55,78,89,65,89,49,92,88,28,50,50,84,93,93,90,3,3,2,4,3,89
K. Mbappé,V,85,85,85,87,87,87,87,87,86,86,86,86,78,78,78,86,66,62,62,62,66,62,54,54,54,62,77,88,77,82,78,90,77,63,73,91,96,96,92,87,83,79,75,83,71,78,62,38,88,82,70,86,34,34,32,13,5,7,11,6,88
M. Salah,V,83,83,83,87,86,86,86,87,86,86,86,86,80,80,80,86,70,66,66,66,70,66,57,57,57,66,78,90,59,82,73,89,83,60,72,88,94,91,91,91,88,77,68,84,70,83,63,55,90,82,61,91,38,43,41,14,14,9,11,14,88
Casemiro,V,72,72,72,69,73,73,73,69,74,74,74,71,80,80,80,71,78,85,85,85,78,79,85,85,85,79,52,59,76,85,53,69,59,74,82,78,59,65,62,84,66,86,88,87,89,79,87,87,69,77,66,84,88,90,87,13,14,16,12,12,88
J. Rodríguez,V,80,80,80,84,83,83,83,84,85,85,85,83,81,81,81,83,69,68,68,68,69,65,58,58,58,65,90,83,62,89,90,85,89,86,83,90,73,67,83,85,76,86,54,70,68,92,64,55,80,89,81,87,52,41,44,15,15,15,5,14,88
L. Insigne,N,78,78,78,86,85,85,85,86,86,86,86,86,78,78,78,86,63,58,58,58,63,58,44,44,44,58,86,77,56,85,74,90,87,77,78,93,94,86,94,83,93,75,53,75,44,84,34,26,83,87,61,83,51,24,22,8,4,14,9,10,88
Isco,N,76,76,76,84,83,83,83,84,86,86,86,83,83,83,83,83,72,73,73,73,72,68,63,63,63,68,75,79,55,89,65,94,88,76,83,95,75,69,87,77,90,69,64,70,59,87,58,64,78,89,76,86,60,64,51,10,8,12,15,6,88
C. Eriksen,V,79,79,79,84,84,84,84,84,86,86,86,85,85,85,85,85,71,71,71,71,71,66,57,57,57,66,88,80,52,91,77,84,86,87,88,91,75,73,79,88,81,84,50,92,58,89,46,56,83,91,67,88,59,57,22,9,14,7,7,6,88
Coutinho,N,79,79,79,86,85,85,85,86,87,87,87,85,83,83,83,85,71,70,70,70,71,67,58,58,58,67,79,79,48,88,75,91,91,86,83,92,89,75,92,83,93,83,59,79,61,93,59,49,84,90,70,85,55,54,47,12,7,9,14,6,88
P. Aubameyang,V,84,84,84,83,83,83,83,83,81,81,81,81,73,73,73,81,64,58,58,58,64,61,52,52,52,61,77,88,79,77,86,79,80,74,64,82,93,95,76,87,70,82,79,76,76,79,43,48,90,77,76,86,27,25,36,6,9,15,9,9,88
M. Hummels,B,69,69,69,68,69,69,69,68,71,71,71,70,77,77,77,70,78,83,83,83,78,80,85,85,85,80,64,55,87,81,60,68,65,53,85,81,53,64,63,87,60,71,68,66,84,51,69,92,56,79,68,91,88,90,88,15,6,10,5,6,88
G. Bale,N,86,86,86,86,86,86,86,86,85,85,85,85,80,80,80,85,73,70,70,70,73,71,67,67,67,71,87,86,84,85,85,87,90,87,80,85,94,95,82,85,65,92,87,75,80,91,65,59,85,79,76,86,54,55,52,15,15,11,5,6,88
G. Higuaín,N,85,85,85,81,83,83,83,81,80,80,80,78,71,71,71,78,55,53,53,53,55,51,48,48,48,51,68,92,80,75,90,84,74,62,59,85,73,73,75,86,69,86,79,70,85,80,50,20,92,74,70,86,35,22,18,5,12,7,5,10,88
Thiago Silva,B,66,66,66,66,67,67,67,66,70,70,70,69,75,75,75,69,78,82,82,82,78,80,84,84,84,80,60,38,81,80,63,62,61,64,80,80,70,72,68,82,68,71,90,74,82,68,76,89,59,72,60,81,88,89,85,9,12,5,9,10,88
S. Umtiti,B,70,70,70,69,69,69,69,69,69,69,69,70,73,73,73,70,80,81,81,81,80,81,84,84,84,81,69,51,79,81,70,69,72,62,73,77,71,73,68,82,66,83,89,78,84,74,81,87,58,58,61,82,90,89,86,15,10,14,12,15,87
M. Icardi,N,84,84,84,76,81,81,81,76,76,76,76,74,68,68,68,74,54,53,53,53,54,52,51,51,51,52,46,91,91,73,85,77,58,45,54,81,77,78,76,88,76,84,94,72,76,70,56,22,92,64,82,85,45,24,20,13,9,5,7,9,87
K. Koulibaly,B,52,52,52,51,52,52,52,51,52,52,52,55,58,58,58,55,71,75,75,75,71,75,84,84,84,75,30,19,81,66,14,66,28,28,56,60,68,75,50,80,40,55,81,71,94,15,87,88,24,43,33,78,91,88,86,7,11,7,13,5,87
C. Immobile,N,84,84,84,79,82,82,82,79,78,78,78,77,70,70,70,77,60,58,58,58,60,58,55,55,55,58,55,90,81,74,87,83,70,51,49,83,78,85,77,87,63,86,77,80,76,80,77,40,91,65,78,81,34,33,32,6,8,15,12,6,87
Jordi Alba,B,76,76,76,81,79,79,79,81,79,79,79,82,79,79,79,82,84,80,80,80,84,84,78,78,78,84,87,73,70,84,60,80,80,63,74,84,93,93,90,83,85,64,81,91,61,66,75,84,79,70,59,79,72,84,85,13,15,13,6,13,87
D. Mertens,N,78,78,78,86,85,85,85,86,86,86,86,85,78,78,78,85,65,60,60,60,65,60,46,46,46,60,77,86,35,82,70,91,82,79,74,89,93,85,94,88,92,80,60,75,42,81,59,36,87,83,79,81,25,40,40,7,10,8,10,4,87
J. Vertonghen,B,69,69,69,68,69,69,69,68,70,70,70,70,74,74,74,70,79,81,81,81,79,80,84,84,84,80,68,56,80,79,52,71,58,73,74,76,61,65,61,84,60,80,85,75,79,66,84,89,60,68,66,83,90,87,88,6,10,9,12,7,87
M. Hamšík,V,81,81,81,82,83,83,83,82,84,84,84,82,84,84,84,82,77,78,78,78,77,75,72,72,72,75,78,79,74,88,79,86,80,72,83,87,69,68,76,88,66,82,71,84,67,83,56,72,88,86,70,84,75,73,62,8,6,4,14,14,87
I. Rakitić,V,77,77,77,80,81,81,81,80,82,82,82,81,84,84,84,81,77,79,79,79,77,75,70,70,70,75,84,83,58,87,80,84,88,84,90,87,66,59,72,77,66,84,39,84,66,90,67,75,79,86,82,81,72,74,70,14,11,12,5,9,87
Piqué,B,68,68,68,64,66,66,66,64,67,67,67,66,73,73,73,66,75,81,81,81,75,77,83,83,83,77,57,64,83,81,57,59,58,43,80,78,49,60,58,84,36,62,74,65,83,51,72,88,58,62,69,86,91,86,84,10,11,14,15,8,87
L. Sané,N,82,82,82,84,84,84,84,84,82,82,82,83,74,74,74,83,65,59,59,59,65,61,52,52,52,61,83,81,72,79,85,88,82,68,64,85,93,96,88,81,81,86,64,79,70,78,61,34,84,82,71,78,36,32,35,8,12,9,9,14,86
Bernardo Silva,N,75,75,75,84,82,82,82,84,84,84,84,84,80,80,80,84,68,65,65,65,68,63,53,53,53,63,85,75,51,85,69,92,83,67,79,91,84,74,90,82,88,70,50,78,48,72,58,49,83,86,68,85,49,44,35,9,10,14,12,9,86
S. Mané,V,81,81,81,84,84,84,84,84,83,83,83,83,77,77,77,83,66,63,63,63,66,62,55,55,55,62,73,84,62,79,71,87,74,64,71,86,95,93,91,86,86,82,75,84,67,74,73,35,87,82,71,80,42,42,38,10,10,15,7,14,86
V. van Dijk,B,68,68,68,65,66,66,66,65,67,67,67,67,71,71,71,67,76,80,80,80,76,78,85,85,85,78,53,52,82,76,45,70,60,70,78,73,74,77,61,85,49,81,85,71,92,64,81,86,41,59,62,83,88,89,84,13,10,13,11,11,86
R. Sterling,N,76,76,76,84,83,83,83,84,83,83,83,84,77,77,77,84,69,63,63,63,69,66,52,52,52,66,77,77,38,84,67,88,70,63,69,87,95,92,93,87,93,73,57,78,52,73,38,30,87,77,69,77,47,58,54,15,12,12,15,9,86
Roberto Firmino,V,83,83,83,83,84,84,84,83,84,84,84,83,82,82,82,83,72,73,73,73,72,69,67,67,67,69,72,87,77,86,81,87,80,65,75,88,78,77,80,86,81,81,81,90,74,76,73,58,87,85,72,87,60,64,42,8,11,9,6,10,86
R. Varane,B,62,62,62,61,63,63,63,61,64,64,64,64,69,69,69,64,75,79,79,79,75,78,83,83,83,78,36,40,83,75,42,57,46,54,76,77,83,85,63,83,40,52,79,73,84,53,77,82,44,56,43,82,87,88,87,11,11,9,5,14,86
M. Verratti,V,69,69,69,78,77,77,77,78,81,81,81,80,84,84,84,80,80,83,83,83,80,78,76,76,76,78,72,60,55,90,64,90,73,64,89,88,69,62,87,85,94,56,64,77,52,58,89,84,71,87,64,93,78,83,80,12,12,15,15,10,86
Alex Sandro,B,74,74,74,77,75,75,75,77,76,76,76,78,77,77,77,78,83,81,81,81,83,83,81,81,81,83,84,55,76,81,68,80,78,59,71,81,83,86,79,84,78,80,79,92,79,72,82,82,70,70,60,82,81,84,84,7,7,9,12,5,86
T. Müller,V,82,82,82,81,82,82,82,81,82,82,82,81,79,79,79,81,68,66,66,66,68,66,59,59,59,66,79,87,82,83,84,75,81,59,72,82,73,75,75,91,72,78,81,87,68,80,57,58,92,85,60,83,44,41,44,6,7,11,14,14,86
Thiago,V,75,75,75,82,81,81,81,82,84,84,84,82,84,84,84,82,76,77,77,77,76,73,67,67,67,73,72,69,54,90,90,90,85,77,87,90,78,69,90,84,86,75,75,75,59,79,57,78,79,86,75,85,67,63,65,6,11,7,9,13,86
M. Reus,V,82,82,82,85,85,85,85,85,85,85,85,84,79,79,79,84,68,64,64,64,68,64,54,54,54,64,79,87,49,86,90,87,89,84,75,86,86,85,86,87,81,88,70,73,67,86,49,50,88,86,89,84,47,36,45,12,12,13,13,11,86
Azpilicueta,B,67,67,67,71,70,70,70,71,72,72,72,74,77,77,77,74,83,83,83,83,83,84,83,83,83,84,81,46,76,81,51,69,68,58,80,77,76,76,72,88,73,68,76,87,71,60,82,89,62,74,66,78,88,90,86,13,9,10,6,5,86
L. Bonucci,B,65,65,65,63,65,65,65,63,68,68,68,65,74,74,74,65,74,82,82,82,74,76,84,84,84,76,44,48,86,77,58,69,56,61,85,75,57,65,60,84,52,74,85,71,83,65,82,90,38,74,70,86,90,86,80,2,2,3,2,4,86
T. Alderweireld,B,66,66,66,65,66,66,66,65,68,68,68,68,75,75,75,68,78,82,82,82,78,79,84,84,84,79,64,45,82,79,38,62,63,69,85,74,61,66,60,86,50,78,84,74,79,65,80,87,58,67,58,81,90,91,86,16,6,14,16,14,86
M. Pjanić,V,72,72,72,79,78,78,78,79,81,81,81,80,83,83,83,80,78,80,80,80,78,76,73,73,73,76,80,60,60,89,72,86,86,92,85,89,66,66,77,84,79,78,61,78,66,82,70,78,70,88,79,86,75,74,70,7,7,13,7,8,86
M. Benatia,B,61,61,61,57,58,58,58,57,57,57,57,60,62,62,62,60,73,76,76,76,73,75,84,84,84,75,45,47,83,65,44,64,34,27,65,64,65,75,59,82,53,66,85,69,91,24,86,86,38,47,41,82,89,87,85,7,4,8,7,11,86
Fernandinho,V,74,74,74,75,76,76,76,75,77,77,77,76,80,80,80,76,79,83,83,83,79,79,81,81,81,79,68,69,63,85,74,77,70,72,81,82,68,67,72,86,78,83,76,79,76,78,87,88,70,75,61,79,85,85,80,12,11,5,13,7,86
Iniesta,N,74,74,74,82,81,81,81,82,85,85,85,82,83,83,83,82,71,73,73,73,71,68,63,63,63,68,77,70,54,90,74,90,80,70,85,92,70,67,79,86,84,65,47,55,58,71,58,66,81,93,71,89,67,57,56,6,13,6,13,7,86
M. Škriniar,B,57,57,57,56,57,57,57,56,58,58,58,60,65,65,65,60,73,78,78,78,73,76,83,83,83,76,40,42,80,70,40,59,34,30,68,67,70,73,48,81,48,50,78,77,83,30,86,86,30,57,56,80,92,88,82,10,13,12,8,12,85
N. Fekir,V,79,79,79,84,83,83,83,84,83,83,83,83,77,77,77,83,62,60,60,60,62,57,50,50,50,57,83,82,49,83,77,90,81,79,75,89,79,79,90,80,91,84,69,80,82,82,73,28,81,81,81,89,31,37,25,15,9,8,14,15,85
J. Kimmich,V,75,75,75,79,78,78,78,79,79,79,79,81,81,81,81,81,81,80,80,80,81,80,77,77,77,80,90,66,74,85,61,80,81,61,80,85,78,68,84,85,83,75,79,85,65,69,74,79,80,79,44,82,75,81,79,8,15,7,15,15,85
Saúl,V,80,80,80,79,81,81,81,79,81,81,81,80,82,82,82,80,78,80,80,80,78,78,78,78,78,78,69,78,83,85,76,83,72,60,83,85,74,73,76,82,69,78,79,86,77,79,69,78,82,82,55,83,77,79,76,7,13,12,10,9,85
R. Mahrez,N,77,77,77,84,82,82,82,84,83,83,83,83,77,77,77,83,63,59,59,59,63,57,47,47,47,57,81,80,48,82,72,91,84,78,76,90,88,83,93,77,88,79,61,76,54,81,48,39,80,81,73,86,45,31,18,15,9,13,11,6,85
A. Lacazette,N,82,82,82,81,83,83,83,81,81,81,81,79,74,74,74,79,62,60,60,60,62,59,54,54,54,59,64,88,73,80,81,85,74,71,59,83,81,84,85,85,85,83,76,79,73,75,70,42,86,76,84,85,29,42,30,11,6,9,5,6,85
N. Otamendi,B,64,64,64,59,61,61,61,59,62,62,62,61,67,67,67,61,72,77,77,77,72,74,82,82,82,74,52,54,85,75,57,51,50,39,72,70,57,61,64,79,62,69,92,67,80,56,91,84,51,53,45,80,83,85,84,12,5,8,11,12,85
Parejo,V,74,74,74,77,77,77,77,77,80,80,80,78,83,83,83,78,74,77,77,77,74,71,69,69,69,71,84,79,61,90,72,78,89,90,87,84,51,43,66,78,72,78,51,78,72,82,58,81,81,86,83,78,69,68,60,5,9,12,14,8,85
A. Sánchez,N,81,81,81,82,82,82,82,82,82,82,82,82,77,77,77,82,65,64,64,64,65,62,57,57,57,62,77,80,73,77,83,87,79,78,75,86,86,79,90,83,87,84,87,83,72,81,79,46,84,82,77,84,38,44,35,10,10,15,12,13,85
Y. Brahimi,V,75,75,75,83,81,81,81,83,82,82,82,82,76,76,76,82,64,60,60,60,64,59,48,48,48,59,79,76,46,79,73,93,84,78,72,86,87,75,92,84,87,69,72,85,49,76,46,38,83,79,75,90,51,36,25,13,16,12,7,7,85
J. Boateng,B,63,63,63,63,64,64,64,63,66,66,66,67,72,72,72,67,76,80,80,80,76,78,83,83,83,78,69,34,85,75,52,64,53,31,83,70,67,72,56,82,52,78,74,69,91,58,81,81,47,75,46,84,84,87,87,7,12,15,6,5,85
A. Vidal,V,78,78,78,76,78,78,78,76,78,78,78,76,81,81,81,76,79,83,83,83,79,80,83,83,83,80,76,75,82,83,78,76,76,68,79,82,60,55,74,84,75,86,85,83,79,85,93,84,80,80,81,81,82,87,86,4,2,4,2,4,85
I. Perišić,V,82,82,82,82,82,82,82,82,81,81,81,83,79,79,79,83,75,72,72,72,75,72,68,68,68,72,83,79,80,81,81,84,73,75,77,85,84,88,78,81,74,84,84,89,78,79,65,69,85,79,76,80,64,52,54,6,7,10,9,6,85
E. Džeko,N,82,82,82,77,80,80,80,77,78,78,78,76,74,74,74,76,59,61,61,61,59,56,55,55,55,56,63,89,84,77,77,76,65,54,72,84,65,66,57,83,36,86,66,76,80,79,51,50,89,74,67,83,58,28,16,9,11,13,15,15,85
S. Khedira,V,77,77,77,76,78,78,78,76,79,79,79,77,82,82,82,77,78,83,83,83,78,77,81,81,81,77,72,72,76,85,78,81,68,68,82,84,54,60,55,87,54,82,68,78,87,78,82,86,79,82,69,84,80,83,76,11,9,5,15,8,85
Diego Costa,N,82,82,82,76,79,79,79,76,75,75,75,75,69,69,69,75,61,61,61,61,61,59,61,61,61,59,65,87,82,65,81,77,62,59,52,83,74,76,58,85,53,83,64,76,92,74,93,40,87,74,75,83,58,39,34,11,13,12,8,11,85
R. Nainggolan,V,78,78,78,80,81,81,81,80,81,81,81,80,83,83,83,80,83,84,84,84,83,83,81,81,81,83,73,75,59,84,75,80,73,68,81,85,78,73,76,87,82,84,76,93,77,86,88,86,86,76,63,84,83,86,90,11,11,14,8,11,85
Naldo,B,70,70,70,62,66,66,66,62,65,65,65,63,70,70,70,63,72,77,77,77,72,75,82,82,82,75,45,57,94,76,60,60,52,76,70,68,60,65,46,85,36,92,45,61,83,82,72,83,53,59,60,84,86,88,85,14,10,14,8,14,85
B. Matuidi,V,74,74,74,76,76,76,76,76,77,77,77,78,79,79,79,78,83,83,83,83,83,82,81,81,81,82,75,64,68,83,72,78,65,52,77,79,79,77,83,84,79,78,84,94,76,70,86,86,72,76,56,82,85,84,86,8,11,5,10,14,85
Miranda,B,62,62,62,61,62,62,62,61,62,62,62,63,67,67,67,63,74,78,78,78,74,76,83,83,83,76,48,43,80,70,51,67,32,39,69,73,66,69,61,81,57,70,82,65,79,41,83,85,43,58,49,81,90,90,85,12,6,10,13,12,85
K. Benzema,N,81,81,81,81,82,82,82,81,81,81,81,80,73,73,73,80,57,56,56,56,57,53,49,49,49,53,75,81,80,83,82,83,79,73,62,86,76,76,76,83,66,81,73,75,80,75,65,22,86,85,82,79,47,15,12,13,11,5,5,7,85
Filipe Luís,B,72,72,72,75,74,74,74,75,75,75,75,77,78,78,78,77,83,81,81,81,83,82,80,80,80,82,86,59,72,80,56,77,74,75,77,83,76,75,75,85,62,71,71,89,74,60,81,84,71,70,65,88,78,84,86,11,15,9,9,5,85
V. Kompany,B,63,63,63,60,61,61,61,60,62,62,62,62,67,67,67,62,73,77,77,77,73,75,83,83,83,75,61,45,84,73,46,63,61,52,66,70,52,59,57,87,41,75,72,66,87,55,87,82,41,59,63,81,87,85,84,10,9,5,8,6,85
Pepe,B,60,60,60,58,59,59,59,58,59,59,59,58,63,63,63,58,71,75,75,75,71,74,82,82,82,74,46,46,80,70,23,58,44,47,61,62,65,70,63,83,49,63,76,60,86,56,94,85,40,48,57,79,86,85,82,8,15,5,9,10,85
Z. Ibrahimović,N,82,82,82,77,80,80,80,77,79,79,79,76,73,73,73,76,55,57,57,57,55,51,52,52,52,51,73,86,83,79,86,79,82,82,73,84,58,59,75,82,39,90,68,61,86,82,84,20,85,79,89,90,28,37,24,13,15,10,9,12,85
D. Sánchez,B,61,61,61,59,60,60,60,59,61,61,61,62,66,66,66,62,74,78,78,78,74,76,82,82,82,76,36,40,80,77,28,63,30,27,67,73,72,79,60,80,55,66,73,76,83,44,87,82,34,49,44,75,84,85,88,9,7,10,6,15,84
J. Giménez,B,56,56,56,51,51,51,51,51,50,50,50,53,56,56,56,53,71,73,73,73,71,74,83,83,83,74,47,37,81,68,30,47,36,44,58,56,69,70,56,76,43,72,92,67,85,48,89,85,24,27,38,73,88,86,87,9,11,7,10,15,84
Alex Telles,B,76,76,76,79,78,78,78,79,79,79,79,81,81,81,81,81,83,81,81,81,83,82,78,78,78,82,89,65,74,83,67,82,87,79,86,82,84,85,73,83,70,80,81,92,68,75,78,80,76,74,68,80,80,81,79,13,8,12,11,14,84
A. Laporte,B,64,64,64,61,63,63,63,61,63,63,63,64,70,70,70,64,75,79,79,79,75,77,82,82,82,77,58,45,85,76,40,59,61,69,78,73,62,66,45,83,55,68,75,67,82,47,75,85,54,57,44,77,85,86,87,10,11,5,14,5,84
Bruno Fernandes,V,77,77,77,81,81,81,81,81,82,82,82,82,82,82,82,82,75,75,75,75,75,73,67,67,67,73,84,73,58,85,84,83,85,81,82,85,79,76,77,84,78,87,72,89,67,88,65,70,79,86,81,83,63,66,53,12,14,15,8,14,84
N. Süle,B,56,56,56,49,52,52,52,49,52,52,52,52,60,60,60,52,69,75,75,75,69,73,81,81,81,73,30,20,86,78,31,42,28,30,63,63,52,84,33,79,33,77,38,65,94,62,82,82,26,30,32,72,82,85,83,15,7,14,7,15,84
A. Martial,N,81,81,81,82,82,82,82,82,80,80,80,81,73,73,73,81,64,60,60,60,64,61,54,54,54,61,76,84,69,77,74,87,84,54,60,86,88,89,85,81,81,84,74,75,75,80,58,42,83,73,81,79,38,39,36,9,8,8,15,11,84
Marquinhos,V,59,59,59,63,61,61,61,63,63,63,63,67,69,69,69,67,79,80,80,80,79,80,82,82,82,80,72,33,80,81,31,59,49,32,78,76,73,76,69,81,68,53,86,75,74,35,80,84,46,51,31,79,85,87,87,6,6,12,10,13,84
William Carvalho,V,66,66,66,69,69,69,69,69,73,73,73,72,79,79,79,72,75,82,82,82,75,75,79,79,79,75,68,52,73,84,50,80,79,50,86,79,49,53,51,75,51,59,69,84,90,55,75,84,64,83,60,89,84,85,68,6,6,5,14,14,84
Jorginho,V,70,70,70,77,76,76,76,77,80,80,80,79,82,82,82,79,77,79,79,79,77,75,72,72,72,75,75,57,56,89,71,82,75,76,87,85,75,69,80,83,73,71,58,79,66,62,79,78,72,87,84,79,63,78,70,14,7,13,14,8,84
F. Thauvin,V,81,81,81,83,83,83,83,83,82,82,82,83,77,77,77,83,65,62,62,62,65,61,53,53,53,61,83,81,75,83,74,85,86,72,76,86,87,80,86,83,71,83,76,83,66,82,56,42,83,80,74,82,46,29,31,8,11,14,10,9,84
M. Depay,N,80,80,80,82,82,82,82,82,82,82,82,82,75,75,75,82,60,58,58,58,60,56,50,50,50,56,79,79,65,80,74,85,85,88,74,85,87,87,82,79,79,87,74,79,80,81,76,28,83,82,75,79,29,31,20,8,14,6,12,10,84
H. Son,V,82,82,82,84,84,84,84,84,83,83,83,82,76,76,76,82,65,61,61,61,65,61,53,53,53,61,78,85,65,79,79,88,81,70,64,85,88,87,82,84,76,86,63,85,63,88,60,39,85,80,71,82,48,34,33,11,13,13,6,10,84
S. de Vrij,B,57,57,57,58,58,58,58,58,61,61,61,60,67,67,67,60,73,77,77,77,73,76,82,82,82,76,49,25,80,71,27,63,45,16,71,71,67,69,61,80,59,65,76,66,80,60,78,87,32,59,41,82,88,87,83,8,10,7,14,13,84
J. Cuadrado,V,76,76,76,82,81,81,81,82,81,81,81,81,77,77,77,81,76,72,72,72,76,75,69,69,69,75,80,67,58,80,70,90,78,69,69,85,89,93,91,80,82,84,75,78,61,80,78,62,78,76,65,80,63,70,74,5,5,13,6,9,84
Iago Aspas,N,82,82,82,83,83,83,83,83,81,81,81,81,73,73,73,81,61,57,57,57,61,56,49,49,49,56,80,88,78,79,83,86,80,76,64,85,85,78,87,85,74,79,68,75,60,82,63,39,86,75,82,85,39,21,18,12,16,9,12,13,84
N. Matić,V,73,73,73,72,74,74,74,72,74,74,74,74,79,79,79,74,78,82,82,82,78,77,80,80,80,77,71,64,74,84,73,80,72,67,83,79,52,59,44,83,50,83,67,84,85,75,80,86,69,73,64,84,83,84,75,7,15,12,14,9,84
Illarramendi,V,72,72,72,76,77,77,77,76,79,79,79,77,82,82,82,77,77,81,81,81,77,76,75,75,75,76,68,72,51,86,58,78,76,68,82,83,66,57,71,84,75,69,63,77,68,76,76,87,79,86,50,79,69,83,80,15,7,11,14,12,84
K. Walker,B,72,72,72,75,74,74,74,75,73,73,73,77,75,75,75,77,82,78,78,78,82,82,79,79,79,82,81,51,74,78,57,79,76,71,67,78,86,93,67,83,72,86,83,89,75,69,78,81,67,69,63,75,78,84,83,12,6,16,15,8,84
