id,Overall,id,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,pozicija
38,82,38,57,57,57,58,60,60,60,58,62,62,62,62,68,68,68,62,72,77,77,77,72,75,80,80,80,75,36,23,78,78,24,60,25,27,69,76,72,73,62,79,60,58,79,73,80,35,80,82,47,60,43,74,85,82,81,10,10,9,12,7,B
39,82,39,75,75,75,81,80,80,80,81,81,81,81,81,78,78,78,81,71,68,68,68,71,68,59,59,59,68,82,70,50,82,74,86,82,80,72,87,83,83,85,80,79,82,49,80,63,82,52,66,78,80,72,83,65,46,42,14,15,10,13,12,V
40,82,40,56,56,56,55,56,56,56,55,57,57,57,58,63,63,63,58,71,76,76,76,71,74,81,81,81,74,36,30,76,70,28,65,36,24,69,69,63,69,60,78,53,64,78,75,81,46,84,85,31,40,34,76,88,85,81,9,14,12,8,9,B
41,82,41,71,71,71,72,73,73,73,72,75,75,75,74,78,78,78,74,77,80,80,80,77,77,79,79,79,77,58,63,68,85,53,78,62,58,79,81,73,76,72,77,53,79,84,87,81,75,76,79,60,73,46,75,80,83,80,11,13,9,9,7,V
42,82,42,80,80,80,77,79,79,79,77,75,75,75,76,69,69,69,76,67,63,63,63,67,66,62,62,62,66,64,85,69,65,82,76,60,57,48,76,89,91,75,88,76,85,76,86,67,67,92,49,85,72,81,82,56,52,51,15,14,7,15,11,N
43,82,43,76,76,76,78,79,79,79,78,80,80,80,77,77,77,77,77,62,66,66,66,62,59,58,58,58,59,73,74,68,84,81,86,79,68,78,87,58,62,69,78,39,76,44,61,79,84,78,54,77,84,67,80,46,40,37,14,15,13,9,7,V
44,82,44,58,58,58,59,58,58,58,59,60,60,60,62,65,65,65,62,74,76,76,76,74,76,81,81,81,76,68,27,80,75,34,59,35,56,72,69,67,78,59,82,50,70,73,60,82,41,88,80,33,57,40,72,82,85,82,14,15,10,12,8,B
45,82,45,75,75,75,79,79,79,79,79,81,81,81,78,79,79,79,78,73,73,73,73,73,71,68,68,68,71,72,73,55,86,76,87,75,61,76,84,71,70,80,79,80,79,73,67,66,82,44,70,77,81,67,80,68,74,66,11,6,15,13,7,V
46,82,46,81,81,81,80,81,81,81,80,79,79,79,79,72,72,72,79,60,58,58,58,60,57,51,51,51,57,74,84,71,75,80,80,78,54,66,82,88,88,80,81,72,84,79,79,76,74,72,39,85,73,69,80,32,29,21,6,13,6,14,6,N
47,82,47,77,77,77,82,82,82,82,82,84,84,84,82,79,79,79,82,60,59,59,59,60,54,44,44,44,54,76,80,49,88,76,86,86,81,87,88,77,72,79,83,74,77,54,73,67,77,29,28,81,87,56,72,44,25,18,6,8,6,12,11,N
48,82,48,64,64,64,61,62,62,62,61,63,63,63,62,67,67,67,62,72,76,76,76,72,74,80,80,80,74,53,58,81,77,51,53,55,47,69,70,58,65,63,82,67,66,83,68,78,52,82,82,50,55,54,73,80,82,82,11,9,15,10,6,B
49,82,49,75,75,75,80,80,80,80,80,82,82,82,79,80,80,80,79,69,70,70,70,69,66,61,61,61,66,77,73,61,86,78,87,83,69,83,86,69,69,79,78,63,78,49,62,64,76,65,69,78,87,75,80,45,59,51,14,9,6,10,12,V
50,82,50,75,75,75,80,80,80,80,80,80,80,80,79,74,74,74,79,63,61,61,61,63,59,50,50,50,59,78,78,55,80,70,84,81,57,71,85,79,74,82,81,80,77,66,70,47,79,56,49,82,77,66,77,49,32,31,5,11,12,15,9,N
51,82,51,75,75,75,77,78,78,78,77,79,79,79,78,80,80,80,78,75,75,75,75,75,72,69,69,69,72,75,74,58,84,79,81,70,66,80,82,64,69,73,81,74,81,66,89,67,74,73,69,84,79,75,81,66,70,67,6,11,5,10,8,V
52,82,52,80,80,80,80,80,80,80,80,79,79,79,80,75,75,75,80,66,65,65,65,66,63,60,60,60,63,80,78,74,78,79,84,79,72,74,85,79,83,70,78,66,84,67,78,84,75,84,44,83,77,77,81,43,48,39,14,15,10,10,15,N
53,82,53,61,61,61,61,61,61,61,61,62,62,62,64,68,68,68,64,74,76,76,76,74,75,79,79,79,75,68,44,83,70,38,65,69,60,72,73,49,65,57,77,46,64,81,80,86,50,81,77,45,60,49,78,79,83,82,15,9,12,14,6,B
54,82,54,79,79,79,72,76,76,76,72,74,74,74,71,71,71,71,71,55,59,59,59,55,52,56,56,56,52,64,83,90,79,82,70,70,65,58,83,43,50,57,83,54,85,84,62,88,74,76,42,83,76,83,78,37,37,20,12,15,11,6,5,N
55,82,55,81,81,81,74,78,78,78,74,75,75,75,72,69,69,69,72,58,59,59,59,58,57,61,61,61,57,54,83,92,72,80,76,61,54,52,82,64,66,50,85,55,82,90,60,82,78,82,23,87,73,82,87,58,44,49,14,10,9,15,9,N
56,81,56,79,79,79,80,80,80,80,80,78,78,78,79,72,72,72,79,63,59,59,59,63,60,53,53,53,60,75,78,71,75,72,83,77,78,65,80,90,93,88,79,77,87,68,79,71,77,70,42,81,74,74,73,32,40,33,11,6,15,7,14,N
57,81,57,73,73,73,78,78,78,78,78,80,80,80,78,80,80,80,78,75,76,76,76,75,73,70,70,70,73,74,77,50,84,70,81,63,60,80,81,71,66,79,76,76,75,59,77,67,80,69,74,77,86,46,71,72,74,73,9,11,12,7,15,V
58,81,58,76,76,76,78,78,78,78,78,79,79,79,77,80,80,80,77,75,76,76,76,75,74,72,72,72,74,72,79,67,80,65,81,74,59,80,83,69,67,73,79,66,75,46,73,69,82,66,77,80,82,67,77,70,78,75,16,11,7,13,13,V
59,81,59,76,76,76,81,79,79,79,81,79,79,79,80,75,75,75,80,70,66,66,66,70,67,60,60,60,67,79,80,54,75,64,87,82,72,68,83,88,88,78,75,80,76,62,82,60,80,58,59,77,75,76,83,63,54,45,14,13,13,16,8,N
60,81,60,73,73,73,80,78,78,78,80,79,79,79,79,73,73,73,79,64,60,60,60,64,59,48,48,48,59,79,74,40,78,73,84,77,75,74,83,85,84,90,79,82,78,50,79,45,82,63,38,77,75,70,79,63,29,29,11,12,6,8,11,V
61,81,61,73,73,73,79,78,78,78,79,80,80,80,79,79,79,79,79,76,74,74,74,76,74,67,67,67,74,77,65,52,82,70,84,80,65,79,85,82,84,79,76,76,76,54,72,54,80,56,75,77,82,51,75,69,72,71,12,9,12,11,6,V
62,81,62,74,74,74,80,79,79,79,80,80,80,80,80,79,79,79,80,78,76,76,76,78,76,69,69,69,76,85,75,52,84,78,83,84,82,75,84,82,68,88,83,86,79,63,72,49,82,69,84,77,79,44,75,67,70,77,12,6,8,11,8,V
63,81,63,79,79,79,75,77,77,77,75,73,73,73,73,64,64,64,73,52,48,48,48,52,49,44,44,44,49,53,84,77,68,73,75,68,57,55,78,89,92,91,79,90,79,86,72,73,65,66,20,84,58,70,75,20,20,15,12,14,14,12,8,N
64,81,64,69,69,69,73,72,72,72,73,73,73,73,76,75,75,75,76,80,78,78,78,80,79,77,77,77,79,83,58,69,79,48,76,72,48,70,79,76,74,70,78,68,65,73,85,69,52,76,79,71,75,54,74,78,83,82,11,7,6,7,14,B
65,81,65,62,62,62,66,67,67,67,66,70,70,70,70,75,75,75,70,76,79,79,79,76,75,75,75,75,75,61,45,58,80,49,71,54,51,72,81,52,52,66,85,54,53,51,93,69,40,78,81,70,73,47,78,80,80,76,8,13,9,6,8,V
66,81,66,70,70,70,74,73,73,73,74,73,73,73,76,76,76,76,76,80,77,77,77,80,79,76,76,76,79,85,54,70,79,52,79,77,68,74,80,71,82,72,79,62,80,73,88,68,69,74,76,69,69,76,75,79,81,80,12,7,8,8,13,B
67,81,67,79,79,79,79,80,80,80,79,79,79,79,79,76,76,76,79,64,63,63,63,64,61,56,56,56,61,78,81,67,81,77,79,79,76,67,81,78,77,73,82,84,85,78,88,82,81,78,45,81,81,72,80,22,50,33,8,7,9,7,12,N
68,81,68,80,80,80,77,79,79,79,77,76,76,76,74,67,67,67,74,56,53,53,53,56,53,49,49,49,53,53,85,77,76,84,78,78,63,51,81,82,80,83,84,84,80,75,65,64,68,59,26,86,65,71,82,50,21,26,12,14,14,8,5,N
69,81,69,73,73,73,76,76,76,76,76,78,78,78,78,80,80,80,78,79,81,81,81,79,78,76,76,76,78,74,71,58,83,65,77,80,65,79,82,75,68,79,82,78,75,61,87,67,69,86,86,78,78,79,84,78,80,77,9,12,15,9,8,V
70,81,70,81,81,81,79,81,81,81,79,79,79,79,79,75,75,75,79,65,65,65,65,65,61,59,59,59,61,76,81,69,78,73,82,78,81,72,79,81,80,69,82,59,94,69,86,92,90,83,48,82,75,78,75,50,41,28,6,10,7,11,12,V
71,81,71,73,73,73,80,79,79,79,80,81,81,81,80,75,75,75,80,63,60,60,60,63,58,50,50,50,58,79,66,57,81,60,88,72,64,69,88,86,76,83,80,78,73,64,73,60,71,51,36,78,84,90,81,58,31,22,5,8,14,6,8,N
72,81,72,60,60,60,58,59,59,59,58,60,60,60,60,64,64,64,60,70,74,74,74,70,72,79,79,79,72,58,51,83,72,45,59,38,52,64,65,52,52,60,81,61,57,78,61,78,31,78,81,51,57,56,84,82,83,81,14,6,9,10,7,B
73,80,73,78,78,78,72,75,75,75,72,72,72,72,71,66,66,66,71,52,52,52,52,52,49,48,48,48,49,56,85,81,76,76,76,68,53,58,77,61,65,45,77,53,79,73,71,80,76,65,21,83,60,67,65,35,20,23,7,8,13,12,6,N
74,80,74,72,72,72,77,76,76,76,77,78,78,78,78,78,78,78,78,75,76,76,76,75,73,72,72,72,73,67,59,56,82,59,86,67,63,79,84,84,76,83,79,83,80,63,78,78,70,81,73,70,79,60,84,69,73,69,8,10,13,8,7,V
75,80,75,74,74,74,78,78,78,78,78,79,79,79,79,79,79,79,79,73,72,72,72,73,70,64,64,64,70,80,74,56,84,66,79,69,82,79,82,75,77,75,80,70,77,59,78,65,73,49,68,77,83,73,76,60,65,56,6,14,7,13,11,V
76,80,76,74,74,74,80,79,79,79,80,79,79,79,79,74,74,74,79,61,58,58,58,61,56,47,47,47,56,81,78,44,80,64,84,69,71,73,85,72,75,70,81,70,73,58,71,59,79,40,29,80,79,52,69,50,32,30,10,6,10,13,11,V
77,80,77,78,78,78,71,73,73,73,71,70,70,70,71,64,64,64,71,57,56,56,56,57,56,56,56,56,56,59,80,81,68,75,62,58,37,52,65,87,88,67,76,50,86,74,91,90,74,88,26,84,65,71,71,51,34,28,14,7,13,11,11,N
78,80,78,70,70,70,68,70,70,70,68,70,70,70,70,74,74,74,70,76,79,79,79,76,78,81,81,81,78,50,50,76,74,66,74,58,58,70,75,73,73,67,79,67,82,90,92,75,74,85,84,67,67,55,74,84,84,83,13,14,7,7,13,V
79,80,79,63,63,63,66,67,67,67,66,69,69,69,69,74,74,74,69,74,78,78,78,74,75,78,78,78,75,55,37,71,78,36,76,51,37,75,77,67,69,64,74,57,72,76,83,80,50,87,80,60,73,45,68,71,84,82,11,15,11,14,10,V
80,80,80,73,73,73,74,75,75,75,74,76,76,76,75,79,79,79,75,78,81,81,81,78,78,80,80,80,78,70,60,72,81,61,76,68,65,80,81,69,73,73,78,71,81,76,85,83,75,85,81,73,79,60,74,82,81,80,14,8,8,13,11,V
81,80,81,73,73,73,79,78,78,78,79,78,78,78,78,72,72,72,78,62,56,56,56,62,58,45,45,45,58,77,71,59,76,68,82,73,69,68,84,94,86,94,80,96,76,61,68,34,65,41,42,72,77,57,71,31,39,25,6,11,13,10,12,V
82,80,82,64,64,64,70,68,68,68,70,69,69,69,74,72,72,72,74,78,75,75,75,78,77,75,75,75,77,86,28,71,77,57,76,57,52,69,77,78,78,66,82,66,66,69,86,79,41,78,72,72,68,54,78,72,79,76,10,11,14,13,7,B
83,80,83,58,58,58,59,60,60,60,59,62,62,62,63,67,67,67,63,71,75,75,75,71,73,78,78,78,73,59,36,80,73,40,66,54,57,72,70,55,63,58,75,57,63,82,69,81,38,79,79,43,66,52,79,79,82,80,14,8,12,9,7,B
84,80,84,67,67,67,74,71,71,71,74,72,72,72,76,72,72,72,76,78,75,75,75,78,77,73,73,73,77,83,48,54,78,49,79,59,42,70,78,88,86,76,78,73,65,60,79,76,40,72,74,73,67,56,75,74,76,77,13,9,15,7,14,B
85,80,85,57,57,57,58,56,56,56,58,56,56,56,61,61,61,61,61,74,73,73,73,74,76,79,79,79,76,65,41,79,66,36,53,44,35,60,66,70,80,64,75,63,54,79,76,77,22,83,81,43,50,51,75,85,79,83,16,13,10,9,8,B
86,80,86,78,78,78,79,79,79,79,79,78,78,78,77,68,68,68,77,55,51,51,51,55,51,44,44,44,51,62,78,65,75,75,85,77,60,55,83,86,89,85,79,80,80,62,74,80,65,50,16,81,73,74,75,26,24,22,8,10,10,14,6,N
87,80,87,61,61,61,61,62,62,62,61,65,65,65,64,71,71,71,64,73,77,77,77,73,74,79,79,79,74,54,36,82,77,50,65,63,22,74,69,55,69,55,80,47,66,66,73,77,48,75,83,51,72,42,75,80,84,78,11,15,10,7,10,B
88,80,88,78,78,78,75,77,77,77,75,75,75,75,75,72,72,72,75,60,60,60,60,60,58,56,56,56,58,70,81,81,79,82,76,55,47,61,80,60,65,70,82,67,77,81,80,83,70,66,42,84,72,63,69,31,46,31,8,8,8,14,6,N
89,80,89,73,73,73,78,77,77,77,78,79,79,79,79,77,77,77,79,73,71,71,71,73,71,65,65,65,71,78,74,60,82,73,84,78,72,75,84,75,76,75,74,73,68,65,77,63,74,66,70,76,80,72,78,50,64,70,4,5,3,4,8,V
90,80,90,60,60,60,62,61,61,61,62,63,63,63,63,67,67,67,63,72,75,75,75,72,74,79,79,79,74,55,40,76,69,36,65,53,45,67,67,69,71,73,76,68,57,83,68,76,53,76,84,50,64,57,76,84,84,80,5,11,12,6,12,B
91,80,91,72,72,72,75,75,75,75,75,76,76,76,76,78,78,78,76,79,79,79,79,79,78,76,76,76,78,74,64,60,82,59,77,72,53,76,82,75,72,87,81,86,82,67,87,65,75,84,80,72,73,65,76,77,81,79,10,9,14,11,6,B
92,80,92,74,74,74,77,77,77,77,77,79,79,79,78,78,78,78,78,71,72,72,72,71,69,67,67,67,69,74,72,67,84,72,84,77,66,76,85,70,69,78,74,75,72,70,77,64,71,76,64,75,83,70,80,61,64,62,6,15,14,8,11,V
93,80,93,78,78,78,78,79,79,79,78,78,78,78,78,72,72,72,78,63,60,60,60,63,60,54,54,54,60,70,78,67,79,78,75,76,70,72,79,86,85,81,80,77,82,85,75,64,73,66,38,85,75,81,82,50,33,39,6,10,8,8,6,N
94,80,94,80,80,80,77,79,79,79,77,79,79,79,77,80,80,80,77,72,76,76,76,72,72,75,75,75,72,78,79,90,79,55,78,72,68,80,85,47,57,66,86,64,85,76,74,82,86,84,69,85,83,76,83,69,74,63,14,16,14,16,15,V
95,80,95,65,65,65,64,65,65,65,64,66,66,66,66,71,71,71,66,74,77,77,77,74,75,79,79,79,75,65,55,81,74,44,62,59,51,77,73,62,63,63,76,72,65,81,73,78,61,77,83,58,63,68,80,77,84,82,6,7,12,11,14,B
96,80,96,72,72,72,77,77,77,77,77,79,79,79,77,78,78,78,77,67,70,70,70,67,64,61,61,61,64,85,71,58,85,72,84,86,78,84,86,58,52,72,76,84,77,53,53,54,76,64,61,76,86,80,88,62,60,50,6,9,5,7,15,V
97,80,97,74,74,74,77,77,77,77,77,79,79,79,78,81,81,81,78,79,81,81,81,79,78,76,76,76,78,85,69,60,85,72,72,86,83,87,83,69,76,71,78,65,83,67,74,72,77,83,85,76,86,84,81,77,78,77,10,10,6,6,12,B
98,79,98,71,71,71,78,77,77,77,78,78,78,78,78,73,73,73,78,64,61,61,61,64,61,51,51,51,61,76,75,45,80,68,80,68,71,69,81,82,83,77,78,73,70,50,74,47,72,57,39,75,80,61,79,66,36,37,9,7,15,6,12,V
99,79,99,68,68,68,77,76,76,76,77,78,78,78,77,73,73,73,77,63,60,60,60,63,59,48,48,48,59,69,63,46,78,64,86,70,54,75,84,87,77,90,76,83,67,57,73,32,64,46,39,73,77,57,71,44,50,32,15,13,10,13,6,V
100,79,100,74,74,74,74,75,75,75,74,75,75,75,75,77,77,77,75,77,79,79,79,77,77,78,78,78,77,66,64,68,79,60,78,58,48,75,79,71,77,68,76,79,84,79,96,87,76,86,80,76,71,82,76,80,78,74,9,11,12,12,10,V
101,79,101,73,73,73,69,72,72,72,69,72,72,72,70,74,74,74,70,74,77,77,77,74,75,79,79,79,75,52,68,83,78,67,72,64,68,72,74,62,78,67,75,69,75,71,87,82,70,84,72,67,72,72,76,82,84,77,15,7,16,9,8,V
102,79,102,75,75,75,77,77,77,77,77,77,77,77,77,71,71,71,77,61,60,60,60,61,58,54,54,54,58,70,74,65,75,68,81,63,65,69,80,85,81,78,79,81,70,72,77,72,71,74,32,80,75,63,76,54,34,33,15,11,13,6,12,V
103,79,103,75,75,75,78,77,77,77,78,77,77,77,77,68,68,68,77,59,53,53,53,59,55,47,47,47,55,72,73,55,75,67,87,76,66,53,83,87,88,78,71,89,78,71,74,76,74,44,26,74,73,59,75,40,31,26,11,14,12,14,13,N
104,79,104,61,61,61,68,67,67,67,68,72,72,72,71,76,76,76,71,75,78,78,78,75,74,73,73,73,74,58,41,63,85,56,74,63,46,80,79,72,59,77,80,65,48,67,80,63,52,64,84,56,77,50,80,74,78,73,6,14,16,11,7,V
