id,Overall,id,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,pozicija
10,85,13,77,77,77,81,81,81,81,81,83,83,83,83,84,84,84,83,76,78,78,78,76,73,70,70,70,73,86,72,61,90,56,82,85,76,89,86,71,68,74,85,78,84,61,90,79,81,71,66,84,87,59,78,80,69,51,14,12,5,10,13,V
11,85,15,81,81,81,79,81,81,81,79,81,81,81,79,82,82,82,79,78,81,81,81,78,78,80,80,80,78,64,81,85,84,75,82,66,72,80,84,73,73,69,84,66,83,90,92,81,80,81,81,84,78,71,80,75,81,73,16,16,11,6,8,V
12,84,16,81,81,81,81,82,82,82,81,83,83,83,81,83,83,83,81,76,78,78,78,76,75,73,73,73,75,69,83,77,85,79,83,75,68,80,85,73,76,76,85,62,78,67,90,71,80,84,74,86,85,74,86,70,70,63,7,6,9,11,8,V
13,84,17,73,73,73,75,75,75,75,75,76,76,76,77,79,79,79,77,82,83,83,83,82,82,82,82,82,82,79,66,75,83,47,76,71,53,78,82,69,72,69,83,67,78,75,92,79,65,85,84,70,75,91,84,83,86,84,13,12,6,8,8,V
14,84,19,81,81,81,76,78,78,78,76,76,76,76,76,75,75,75,76,71,72,72,72,71,71,72,72,72,71,72,84,90,75,86,76,64,49,67,77,67,73,67,86,53,80,85,83,85,60,88,66,90,74,76,80,59,64,64,10,8,5,8,15,N
15,84,20,77,77,77,82,81,81,81,82,82,82,82,82,78,78,78,82,63,61,61,61,63,59,50,50,50,59,87,78,59,84,77,86,90,84,80,90,75,72,79,75,80,80,48,73,72,82,57,37,79,87,74,82,32,36,39,11,15,9,14,12,V
16,84,22,75,75,75,84,82,82,82,84,84,84,84,83,77,77,77,83,66,61,61,61,66,60,48,48,48,60,82,76,38,82,72,89,79,79,74,87,94,86,92,83,94,76,70,75,48,79,56,40,81,85,72,84,50,30,34,8,11,12,9,6,N
17,83,23,81,81,81,82,83,83,83,82,81,81,81,81,73,73,73,81,61,59,59,59,61,57,52,52,52,57,66,84,74,76,72,86,76,54,66,85,87,85,92,86,91,78,77,84,68,73,73,32,88,77,78,82,53,23,19,13,8,6,6,15,N
18,83,24,78,78,78,77,78,78,78,77,79,79,79,78,81,81,81,78,76,80,80,80,76,76,77,77,77,76,67,75,82,84,62,77,66,73,86,81,75,66,75,83,74,82,90,87,77,81,81,76,79,80,70,74,75,78,71,7,10,14,9,14,V
19,83,25,76,76,76,82,81,81,81,82,82,82,82,82,79,79,79,82,74,71,71,71,74,72,64,64,64,72,83,75,54,84,78,85,85,81,75,86,86,84,87,80,86,79,71,79,63,76,63,66,77,85,68,80,55,59,63,11,15,13,7,14,V
20,83,26,77,77,77,79,79,79,79,79,80,80,80,80,81,81,81,80,80,80,80,80,80,79,77,77,77,79,75,72,75,84,68,81,76,75,79,83,84,79,76,83,70,77,67,86,70,78,80,83,77,82,60,80,70,79,78,13,8,15,11,9,V
21,83,27,79,79,79,83,82,82,82,83,81,81,81,82,75,75,75,82,63,58,58,58,63,59,49,49,49,59,79,86,60,78,69,84,75,76,73,82,90,91,87,82,79,82,82,83,61,83,60,33,79,81,74,78,36,30,32,10,13,6,7,13,V
22,83,28,74,74,74,82,81,81,81,82,83,83,83,82,76,76,76,82,60,56,56,56,60,55,42,42,42,55,84,70,50,86,72,88,87,80,75,89,83,77,86,78,84,78,50,77,56,87,23,20,76,84,72,76,50,23,18,15,15,9,8,9,N
23,83,29,74,74,74,78,78,78,78,78,79,79,79,79,81,81,81,79,82,83,83,83,82,82,80,80,80,82,70,72,59,85,56,82,65,49,77,80,81,74,82,86,80,70,70,95,77,66,87,86,79,79,53,79,85,85,83,13,13,5,5,8,V
24,83,34,71,71,71,72,73,73,73,72,75,75,75,74,78,78,78,74,77,81,81,81,77,77,79,79,79,77,63,62,72,82,59,77,74,47,81,78,67,67,78,82,80,77,82,80,67,66,80,87,66,81,61,86,82,82,78,10,8,8,5,6,V
25,82,35,73,73,73,77,78,78,78,77,79,79,79,78,80,80,80,78,75,76,76,76,75,73,71,71,71,73,70,72,58,85,63,82,68,60,80,83,68,70,79,81,86,76,83,78,62,74,73,75,77,82,69,84,65,76,70,6,13,13,11,12,V
26,82,36,68,68,68,74,73,73,73,74,75,75,75,75,78,78,78,75,80,81,81,81,80,79,77,77,77,79,74,50,55,83,65,78,66,76,77,81,81,74,83,79,93,78,52,85,66,74,85,87,65,74,48,78,84,84,75,5,5,13,7,9,V
27,82,37,77,77,77,82,81,81,81,82,82,82,82,81,75,75,75,81,58,55,55,55,58,53,43,43,43,53,79,75,57,82,71,85,77,81,73,85,87,82,92,80,84,85,58,74,64,85,53,26,79,83,68,78,21,28,17,8,14,15,7,9,N
28,82,39,75,75,75,81,80,80,80,81,81,81,81,81,78,78,78,81,71,68,68,68,71,68,59,59,59,68,82,70,50,82,74,86,82,80,72,87,83,83,85,80,79,82,49,80,63,82,52,66,78,80,72,83,65,46,42,14,15,10,13,12,V
29,82,41,71,71,71,72,73,73,73,72,75,75,75,74,78,78,78,74,77,80,80,80,77,77,79,79,79,77,58,63,68,85,53,78,62,58,79,81,73,76,72,77,53,79,84,87,81,75,76,79,60,73,46,75,80,83,80,11,13,9,9,7,V
30,82,42,80,80,80,77,79,79,79,77,75,75,75,76,69,69,69,76,67,63,63,63,67,66,62,62,62,66,64,85,69,65,82,76,60,57,48,76,89,91,75,88,76,85,76,86,67,67,92,49,85,72,81,82,56,52,51,15,14,7,15,11,N
31,82,43,76,76,76,78,79,79,79,78,80,80,80,77,77,77,77,77,62,66,66,66,62,59,58,58,58,59,73,74,68,84,81,86,79,68,78,87,58,62,69,78,39,76,44,61,79,84,78,54,77,84,67,80,46,40,37,14,15,13,9,7,V
32,82,45,75,75,75,79,79,79,79,79,81,81,81,78,79,79,79,78,73,73,73,73,73,71,68,68,68,71,72,73,55,86,76,87,75,61,76,84,71,70,80,79,80,79,73,67,66,82,44,70,77,81,67,80,68,74,66,11,6,15,13,7,V
33,82,46,81,81,81,80,81,81,81,80,79,79,79,79,72,72,72,79,60,58,58,58,60,57,51,51,51,57,74,84,71,75,80,80,78,54,66,82,88,88,80,81,72,84,79,79,76,74,72,39,85,73,69,80,32,29,21,6,13,6,14,6,N
34,82,47,77,77,77,82,82,82,82,82,84,84,84,82,79,79,79,82,60,59,59,59,60,54,44,44,44,54,76,80,49,88,76,86,86,81,87,88,77,72,79,83,74,77,54,73,67,77,29,28,81,87,56,72,44,25,18,6,8,6,12,11,N
35,82,49,75,75,75,80,80,80,80,80,82,82,82,79,80,80,80,79,69,70,70,70,69,66,61,61,61,66,77,73,61,86,78,87,83,69,83,86,69,69,79,78,63,78,49,62,64,76,65,69,78,87,75,80,45,59,51,14,9,6,10,12,V
36,82,50,75,75,75,80,80,80,80,80,80,80,80,79,74,74,74,79,63,61,61,61,63,59,50,50,50,59,78,78,55,80,70,84,81,57,71,85,79,74,82,81,80,77,66,70,47,79,56,49,82,77,66,77,49,32,31,5,11,12,15,9,N
37,82,51,75,75,75,77,78,78,78,77,79,79,79,78,80,80,80,78,75,75,75,75,75,72,69,69,69,72,75,74,58,84,79,81,70,66,80,82,64,69,73,81,74,81,66,89,67,74,73,69,84,79,75,81,66,70,67,6,11,5,10,8,V
38,82,52,80,80,80,80,80,80,80,80,79,79,79,80,75,75,75,80,66,65,65,65,66,63,60,60,60,63,80,78,74,78,79,84,79,72,74,85,79,83,70,78,66,84,67,78,84,75,84,44,83,77,77,81,43,48,39,14,15,10,10,15,N
39,82,54,79,79,79,72,76,76,76,72,74,74,74,71,71,71,71,71,55,59,59,59,55,52,56,56,56,52,64,83,90,79,82,70,70,65,58,83,43,50,57,83,54,85,84,62,88,74,76,42,83,76,83,78,37,37,20,12,15,11,6,5,N
40,82,55,81,81,81,74,78,78,78,74,75,75,75,72,69,69,69,72,58,59,59,59,58,57,61,61,61,57,54,83,92,72,80,76,61,54,52,82,64,66,50,85,55,82,90,60,82,78,82,23,87,73,82,87,58,44,49,14,10,9,15,9,N
41,81,56,79,79,79,80,80,80,80,80,78,78,78,79,72,72,72,79,63,59,59,59,63,60,53,53,53,60,75,78,71,75,72,83,77,78,65,80,90,93,88,79,77,87,68,79,71,77,70,42,81,74,74,73,32,40,33,11,6,15,7,14,N
42,81,57,73,73,73,78,78,78,78,78,80,80,80,78,80,80,80,78,75,76,76,76,75,73,70,70,70,73,74,77,50,84,70,81,63,60,80,81,71,66,79,76,76,75,59,77,67,80,69,74,77,86,46,71,72,74,73,9,11,12,7,15,V
43,81,58,76,76,76,78,78,78,78,78,79,79,79,77,80,80,80,77,75,76,76,76,75,74,72,72,72,74,72,79,67,80,65,81,74,59,80,83,69,67,73,79,66,75,46,73,69,82,66,77,80,82,67,77,70,78,75,16,11,7,13,13,V
44,81,59,76,76,76,81,79,79,79,81,79,79,79,80,75,75,75,80,70,66,66,66,70,67,60,60,60,67,79,80,54,75,64,87,82,72,68,83,88,88,78,75,80,76,62,82,60,80,58,59,77,75,76,83,63,54,45,14,13,13,16,8,N
45,81,60,73,73,73,80,78,78,78,80,79,79,79,79,73,73,73,79,64,60,60,60,64,59,48,48,48,59,79,74,40,78,73,84,77,75,74,83,85,84,90,79,82,78,50,79,45,82,63,38,77,75,70,79,63,29,29,11,12,6,8,11,V
46,81,61,73,73,73,79,78,78,78,79,80,80,80,79,79,79,79,79,76,74,74,74,76,74,67,67,67,74,77,65,52,82,70,84,80,65,79,85,82,84,79,76,76,76,54,72,54,80,56,75,77,82,51,75,69,72,71,12,9,12,11,6,V
47,81,62,74,74,74,80,79,79,79,80,80,80,80,80,79,79,79,80,78,76,76,76,78,76,69,69,69,76,85,75,52,84,78,83,84,82,75,84,82,68,88,83,86,79,63,72,49,82,69,84,77,79,44,75,67,70,77,12,6,8,11,8,V
48,81,63,79,79,79,75,77,77,77,75,73,73,73,73,64,64,64,73,52,48,48,48,52,49,44,44,44,49,53,84,77,68,73,75,68,57,55,78,89,92,91,79,90,79,86,72,73,65,66,20,84,58,70,75,20,20,15,12,14,14,12,8,N
49,81,65,62,62,62,66,67,67,67,66,70,70,70,70,75,75,75,70,76,79,79,79,76,75,75,75,75,75,61,45,58,80,49,71,54,51,72,81,52,52,66,85,54,53,51,93,69,40,78,81,70,73,47,78,80,80,76,8,13,9,6,8,V
50,81,67,79,79,79,79,80,80,80,79,79,79,79,79,76,76,76,79,64,63,63,63,64,61,56,56,56,61,78,81,67,81,77,79,79,76,67,81,78,77,73,82,84,85,78,88,82,81,78,45,81,81,72,80,22,50,33,8,7,9,7,12,N
51,81,68,80,80,80,77,79,79,79,77,76,76,76,74,67,67,67,74,56,53,53,53,56,53,49,49,49,53,53,85,77,76,84,78,78,63,51,81,82,80,83,84,84,80,75,65,64,68,59,26,86,65,71,82,50,21,26,12,14,14,8,5,N
52,81,69,73,73,73,76,76,76,76,76,78,78,78,78,80,80,80,78,79,81,81,81,79,78,76,76,76,78,74,71,58,83,65,77,80,65,79,82,75,68,79,82,78,75,61,87,67,69,86,86,78,78,79,84,78,80,77,9,12,15,9,8,V
53,81,70,81,81,81,79,81,81,81,79,79,79,79,79,75,75,75,79,65,65,65,65,65,61,59,59,59,61,76,81,69,78,73,82,78,81,72,79,81,80,69,82,59,94,69,86,92,90,83,48,82,75,78,75,50,41,28,6,10,7,11,12,V
54,81,71,73,73,73,80,79,79,79,80,81,81,81,80,75,75,75,80,63,60,60,60,63,58,50,50,50,58,79,66,57,81,60,88,72,64,69,88,86,76,83,80,78,73,64,73,60,71,51,36,78,84,90,81,58,31,22,5,8,14,6,8,N
55,80,73,78,78,78,72,75,75,75,72,72,72,72,71,66,66,66,71,52,52,52,52,52,49,48,48,48,49,56,85,81,76,76,76,68,53,58,77,61,65,45,77,53,79,73,71,80,76,65,21,83,60,67,65,35,20,23,7,8,13,12,6,N
56,80,74,72,72,72,77,76,76,76,77,78,78,78,78,78,78,78,78,75,76,76,76,75,73,72,72,72,73,67,59,56,82,59,86,67,63,79,84,84,76,83,79,83,80,63,78,78,70,81,73,70,79,60,84,69,73,69,8,10,13,8,7,V
57,80,75,74,74,74,78,78,78,78,78,79,79,79,79,79,79,79,79,73,72,72,72,73,70,64,64,64,70,80,74,56,84,66,79,69,82,79,82,75,77,75,80,70,77,59,78,65,73,49,68,77,83,73,76,60,65,56,6,14,7,13,11,V
58,80,76,74,74,74,80,79,79,79,80,79,79,79,79,74,74,74,79,61,58,58,58,61,56,47,47,47,56,81,78,44,80,64,84,69,71,73,85,72,75,70,81,70,73,58,71,59,79,40,29,80,79,52,69,50,32,30,10,6,10,13,11,V
59,80,77,78,78,78,71,73,73,73,71,70,70,70,71,64,64,64,71,57,56,56,56,57,56,56,56,56,56,59,80,81,68,75,62,58,37,52,65,87,88,67,76,50,86,74,91,90,74,88,26,84,65,71,71,51,34,28,14,7,13,11,11,N
60,80,78,70,70,70,68,70,70,70,68,70,70,70,70,74,74,74,70,76,79,79,79,76,78,81,81,81,78,50,50,76,74,66,74,58,58,70,75,73,73,67,79,67,82,90,92,75,74,85,84,67,67,55,74,84,84,83,13,14,7,7,13,V
61,80,79,63,63,63,66,67,67,67,66,69,69,69,69,74,74,74,69,74,78,78,78,74,75,78,78,78,75,55,37,71,78,36,76,51,37,75,77,67,69,64,74,57,72,76,83,80,50,87,80,60,73,45,68,71,84,82,11,15,11,14,10,V
62,80,80,73,73,73,74,75,75,75,74,76,76,76,75,79,79,79,75,78,81,81,81,78,78,80,80,80,78,70,60,72,81,61,76,68,65,80,81,69,73,73,78,71,81,76,85,83,75,85,81,73,79,60,74,82,81,80,14,8,8,13,11,V
63,80,81,73,73,73,79,78,78,78,79,78,78,78,78,72,72,72,78,62,56,56,56,62,58,45,45,45,58,77,71,59,76,68,82,73,69,68,84,94,86,94,80,96,76,61,68,34,65,41,42,72,77,57,71,31,39,25,6,11,13,10,12,V
64,80,86,78,78,78,79,79,79,79,79,78,78,78,77,68,68,68,77,55,51,51,51,55,51,44,44,44,51,62,78,65,75,75,85,77,60,55,83,86,89,85,79,80,80,62,74,80,65,50,16,81,73,74,75,26,24,22,8,10,10,14,6,N
65,80,88,78,78,78,75,77,77,77,75,75,75,75,75,72,72,72,75,60,60,60,60,60,58,56,56,56,58,70,81,81,79,82,76,55,47,61,80,60,65,70,82,67,77,81,80,83,70,66,42,84,72,63,69,31,46,31,8,8,8,14,6,N
66,80,89,73,73,73,78,77,77,77,78,79,79,79,79,77,77,77,79,73,71,71,71,73,71,65,65,65,71,78,74,60,82,73,84,78,72,75,84,75,76,75,74,73,68,65,77,63,74,66,70,76,80,72,78,50,64,70,4,5,3,4,8,V
67,80,92,74,74,74,77,77,77,77,77,79,79,79,78,78,78,78,78,71,72,72,72,71,69,67,67,67,69,74,72,67,84,72,84,77,66,76,85,70,69,78,74,75,72,70,77,64,71,76,64,75,83,70,80,61,64,62,6,15,14,8,11,V
68,80,93,78,78,78,78,79,79,79,78,78,78,78,78,72,72,72,78,63,60,60,60,63,60,54,54,54,60,70,78,67,79,78,75,76,70,72,79,86,85,81,80,77,82,85,75,64,73,66,38,85,75,81,82,50,33,39,6,10,8,8,6,N
69,80,94,80,80,80,77,79,79,79,77,79,79,79,77,80,80,80,77,72,76,76,76,72,72,75,75,75,72,78,79,90,79,55,78,72,68,80,85,47,57,66,86,64,85,76,74,82,86,84,69,85,83,76,83,69,74,63,14,16,14,16,15,V
70,80,96,72,72,72,77,77,77,77,77,79,79,79,77,78,78,78,77,67,70,70,70,67,64,61,61,61,64,85,71,58,85,72,84,86,78,84,86,58,52,72,76,84,77,53,53,54,76,64,61,76,86,80,88,62,60,50,6,9,5,7,15,V
71,79,98,71,71,71,78,77,77,77,78,78,78,78,78,73,73,73,78,64,61,61,61,64,61,51,51,51,61,76,75,45,80,68,80,68,71,69,81,82,83,77,78,73,70,50,74,47,72,57,39,75,80,61,79,66,36,37,9,7,15,6,12,V
72,79,99,68,68,68,77,76,76,76,77,78,78,78,77,73,73,73,77,63,60,60,60,63,59,48,48,48,59,69,63,46,78,64,86,70,54,75,84,87,77,90,76,83,67,57,73,32,64,46,39,73,77,57,71,44,50,32,15,13,10,13,6,V
73,79,100,74,74,74,74,75,75,75,74,75,75,75,75,77,77,77,75,77,79,79,79,77,77,78,78,78,77,66,64,68,79,60,78,58,48,75,79,71,77,68,76,79,84,79,96,87,76,86,80,76,71,82,76,80,78,74,9,11,12,12,10,V
74,79,101,73,73,73,69,72,72,72,69,72,72,72,70,74,74,74,70,74,77,77,77,74,75,79,79,79,75,52,68,83,78,67,72,64,68,72,74,62,78,67,75,69,75,71,87,82,70,84,72,67,72,72,76,82,84,77,15,7,16,9,8,V
75,79,102,75,75,75,77,77,77,77,77,77,77,77,77,71,71,71,77,61,60,60,60,61,58,54,54,54,58,70,74,65,75,68,81,63,65,69,80,85,81,78,79,81,70,72,77,72,71,74,32,80,75,63,76,54,34,33,15,11,13,6,12,V
76,79,103,75,75,75,78,77,77,77,78,77,77,77,77,68,68,68,77,59,53,53,53,59,55,47,47,47,55,72,73,55,75,67,87,76,66,53,83,87,88,78,71,89,78,71,74,76,74,44,26,74,73,59,75,40,31,26,11,14,12,14,13,N
77,79,104,61,61,61,68,67,67,67,68,72,72,72,71,76,76,76,71,75,78,78,78,75,74,73,73,73,74,58,41,63,85,56,74,63,46,80,79,72,59,77,80,65,48,67,80,63,52,64,84,56,77,50,80,74,78,73,6,14,16,11,7,V
78,79,105,74,74,74,78,77,77,77,78,77,77,77,77,68,68,68,77,55,49,49,49,55,50,39,39,39,50,66,70,53,72,59,87,70,46,68,81,92,92,93,78,87,80,68,74,66,70,36,15,74,70,47,72,26,16,22,10,9,12,7,7,N
79,79,106,78,78,78,74,76,76,76,74,73,73,73,73,67,67,67,73,56,54,54,54,56,53,51,51,51,53,61,86,76,67,71,71,67,60,65,74,78,84,77,74,71,81,87,77,76,80,66,28,82,69,72,78,50,25,25,10,14,12,8,11,N
80,79,107,64,64,64,63,65,65,65,63,67,67,67,66,74,74,74,66,71,78,78,78,71,70,75,75,75,70,58,48,73,80,49,69,59,60,83,73,54,34,60,79,57,73,35,86,85,66,84,76,56,69,59,76,74,80,71,16,11,12,16,10,V
81,79,108,68,68,68,69,69,69,69,69,70,70,70,71,74,74,74,71,77,78,78,78,77,77,77,77,77,77,66,56,65,78,56,69,66,65,74,77,74,76,75,72,76,82,84,90,76,75,83,80,58,68,58,63,78,81,81,16,14,11,7,9,V
82,79,109,73,73,73,78,77,77,77,78,77,77,77,77,74,74,74,77,64,61,61,61,64,60,51,51,51,60,77,74,51,76,82,80,78,70,69,81,78,75,85,81,85,78,62,80,45,71,64,55,81,76,71,69,32,44,35,7,9,10,8,13,V
83,79,112,67,67,67,66,68,68,68,66,69,69,69,68,74,74,74,68,73,77,77,77,73,73,76,76,76,73,66,54,75,79,50,62,71,78,75,74,53,59,58,77,58,79,62,86,82,72,88,79,66,73,87,73,78,76,72,13,9,16,6,12,V
84,79,115,65,65,65,72,71,71,71,72,73,73,73,74,76,76,76,74,76,78,78,78,76,74,72,72,72,74,67,65,32,82,34,74,46,48,77,79,74,75,76,76,89,63,77,88,69,54,89,78,64,74,42,83,75,75,76,15,8,7,11,9,V
85,79,116,76,76,76,74,76,76,76,74,76,76,76,75,77,77,77,75,71,73,73,73,71,70,70,70,70,70,63,77,74,81,82,72,62,44,75,80,71,64,67,78,64,78,72,83,69,77,77,67,80,78,75,83,63,72,61,12,6,13,16,10,V
86,79,117,69,69,69,77,75,75,75,77,76,76,76,77,73,73,73,77,69,66,66,66,69,66,58,58,58,66,73,65,45,79,66,84,77,70,72,80,90,79,92,76,90,70,72,78,48,62,72,52,70,75,61,72,56,55,55,15,11,6,14,16,V
87,79,118,71,71,71,74,74,74,74,74,76,76,76,75,78,78,78,75,75,76,76,76,75,74,71,71,71,74,74,66,54,84,68,76,70,76,79,79,72,66,76,79,76,76,69,79,68,74,72,76,72,78,78,80,69,76,72,9,10,11,8,9,V
88,79,119,72,72,72,74,74,74,74,74,76,76,76,74,77,77,77,74,70,73,73,73,70,67,67,67,67,67,76,67,64,81,73,77,73,80,79,80,62,56,66,74,67,87,56,74,65,87,70,72,72,81,74,76,71,69,46,9,9,11,11,10,V
89,79,122,77,77,77,75,77,77,77,75,76,76,76,75,72,72,72,75,63,63,63,63,63,62,59,59,59,62,67,75,79,75,76,76,76,80,66,77,86,76,77,75,74,86,76,79,77,72,68,56,77,78,85,76,30,57,35,9,16,7,8,7,N
90,79,123,74,74,74,77,77,77,77,77,77,77,77,78,75,75,75,78,70,68,68,68,70,67,63,63,63,67,82,70,64,78,72,81,79,77,75,79,79,77,76,77,76,84,78,78,70,74,66,58,74,79,70,79,58,59,49,7,6,14,10,8,V
91,79,125,69,69,69,69,70,70,70,69,70,70,70,71,74,74,74,71,76,78,78,78,76,76,78,78,78,76,63,55,75,76,44,71,68,61,73,78,68,71,69,75,66,77,65,92,83,71,83,80,66,67,63,74,79,81,76,10,12,7,10,8,V
92,79,126,71,71,71,74,74,74,74,74,76,76,76,74,77,77,77,74,73,75,75,75,73,72,70,70,70,72,77,67,61,81,75,78,79,75,80,80,64,57,70,76,68,83,53,69,59,79,79,80,73,78,85,79,60,78,73,15,6,8,10,7,V
93,79,127,71,71,71,79,77,77,77,79,78,78,78,78,72,72,72,78,64,60,60,60,64,60,50,50,50,60,80,66,44,76,75,85,85,75,74,80,89,79,93,80,94,80,71,63,43,76,53,41,76,76,56,79,48,43,40,6,6,11,8,7,V
94,79,128,78,78,78,78,79,79,79,78,79,79,79,77,72,72,72,77,58,56,56,56,58,54,49,49,49,54,72,80,74,81,79,82,85,72,64,83,68,73,79,76,68,81,70,68,72,80,50,30,80,82,80,78,31,32,30,9,7,5,9,10,N
95,79,129,76,76,76,69,73,73,73,69,72,72,72,70,75,75,75,70,70,77,77,77,70,70,78,78,78,70,61,73,93,81,68,67,64,46,66,82,41,48,47,81,49,75,64,75,91,65,94,74,84,73,64,78,77,77,60,8,6,9,15,16,V
96,79,131,77,77,77,77,77,77,77,77,76,76,76,76,70,70,70,76,59,56,56,56,59,55,50,50,50,55,72,77,71,71,67,82,77,50,66,79,83,82,77,71,74,85,82,84,78,82,58,34,77,74,70,75,39,28,21,16,8,12,11,15,V
97,78,132,77,77,77,74,75,75,75,74,73,73,73,72,65,65,65,72,52,50,50,50,52,49,44,44,44,49,63,81,76,72,80,76,72,38,54,77,75,77,74,78,65,79,66,69,76,72,57,23,78,65,60,73,19,26,16,8,7,12,9,13,N
98,78,133,66,66,66,68,68,68,68,68,69,69,69,70,72,72,72,70,75,76,76,76,75,74,75,75,75,74,71,56,62,75,45,72,81,77,77,71,72,72,51,81,55,73,61,76,88,72,77,76,52,72,67,67,80,76,76,11,15,8,7,7,V
99,78,135,72,72,72,76,75,75,75,76,76,76,76,77,77,77,77,77,73,73,73,73,73,72,68,68,68,72,78,70,59,79,53,79,74,69,79,79,74,74,75,75,59,70,61,86,71,70,71,66,77,78,53,76,70,68,63,14,6,12,9,10,V
100,78,139,70,70,70,72,73,73,73,72,74,74,74,74,77,77,77,74,73,75,75,75,73,72,70,70,70,72,65,61,65,79,46,77,58,48,77,79,66,69,74,76,67,77,53,96,74,80,68,68,69,74,45,75,72,75,63,15,10,13,15,8,V
101,78,140,69,69,69,75,74,74,74,75,76,76,76,76,75,75,75,76,68,67,67,67,68,64,58,58,58,64,73,65,43,79,65,85,76,71,73,81,77,68,79,75,76,70,66,77,66,70,48,62,69,78,65,69,53,57,46,12,12,14,12,10,V
102,78,141,75,75,75,76,75,75,75,76,74,74,74,76,73,73,73,76,76,73,73,73,76,75,73,73,73,75,78,66,72,75,68,78,72,48,68,77,86,89,66,76,67,81,80,79,79,77,71,73,73,72,58,72,72,71,72,8,9,7,10,10,V
103,78,143,74,74,74,77,76,76,76,77,77,77,77,77,71,71,71,77,63,61,61,61,63,59,56,56,56,59,72,73,67,76,66,86,82,76,68,79,80,82,87,73,75,76,67,81,70,74,73,31,71,76,54,73,68,37,32,9,9,16,12,11,V
