Overall,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,pozicija
82,68,68,68,74,73,73,73,74,75,75,75,75,78,78,78,75,80,81,81,81,80,79,77,77,77,79,74,50,55,83,65,78,66,76,77,81,81,74,83,79,93,78,52,85,66,74,85,87,65,74,48,78,84,84,75,5,5,13,7,9,V
82,75,75,75,81,80,80,80,81,81,81,81,81,78,78,78,81,71,68,68,68,71,68,59,59,59,68,82,70,50,82,74,86,82,80,72,87,83,83,85,80,79,82,49,80,63,82,52,66,78,80,72,83,65,46,42,14,15,10,13,12,V
82,71,71,71,72,73,73,73,72,75,75,75,74,78,78,78,74,77,80,80,80,77,77,79,79,79,77,58,63,68,85,53,78,62,58,79,81,73,76,72,77,53,79,84,87,81,75,76,79,60,73,46,75,80,83,80,11,13,9,9,7,V
82,76,76,76,78,79,79,79,78,80,80,80,77,77,77,77,77,62,66,66,66,62,59,58,58,58,59,73,74,68,84,81,86,79,68,78,87,58,62,69,78,39,76,44,61,79,84,78,54,77,84,67,80,46,40,37,14,15,13,9,7,V
82,75,75,75,79,79,79,79,79,81,81,81,78,79,79,79,78,73,73,73,73,73,71,68,68,68,71,72,73,55,86,76,87,75,61,76,84,71,70,80,79,80,79,73,67,66,82,44,70,77,81,67,80,68,74,66,11,6,15,13,7,V
82,75,75,75,80,80,80,80,80,82,82,82,79,80,80,80,79,69,70,70,70,69,66,61,61,61,66,77,73,61,86,78,87,83,69,83,86,69,69,79,78,63,78,49,62,64,76,65,69,78,87,75,80,45,59,51,14,9,6,10,12,V
82,75,75,75,77,78,78,78,77,79,79,79,78,80,80,80,78,75,75,75,75,75,72,69,69,69,72,75,74,58,84,79,81,70,66,80,82,64,69,73,81,74,81,66,89,67,74,73,69,84,79,75,81,66,70,67,6,11,5,10,8,V
81,73,73,73,78,78,78,78,78,80,80,80,78,80,80,80,78,75,76,76,76,75,73,70,70,70,73,74,77,50,84,70,81,63,60,80,81,71,66,79,76,76,75,59,77,67,80,69,74,77,86,46,71,72,74,73,9,11,12,7,15,V
81,76,76,76,78,78,78,78,78,79,79,79,77,80,80,80,77,75,76,76,76,75,74,72,72,72,74,72,79,67,80,65,81,74,59,80,83,69,67,73,79,66,75,46,73,69,82,66,77,80,82,67,77,70,78,75,16,11,7,13,13,V
81,73,73,73,80,78,78,78,80,79,79,79,79,73,73,73,79,64,60,60,60,64,59,48,48,48,59,79,74,40,78,73,84,77,75,74,83,85,84,90,79,82,78,50,79,45,82,63,38,77,75,70,79,63,29,29,11,12,6,8,11,V
81,73,73,73,79,78,78,78,79,80,80,80,79,79,79,79,79,76,74,74,74,76,74,67,67,67,74,77,65,52,82,70,84,80,65,79,85,82,84,79,76,76,76,54,72,54,80,56,75,77,82,51,75,69,72,71,12,9,12,11,6,V
81,74,74,74,80,79,79,79,80,80,80,80,80,79,79,79,80,78,76,76,76,78,76,69,69,69,76,85,75,52,84,78,83,84,82,75,84,82,68,88,83,86,79,63,72,49,82,69,84,77,79,44,75,67,70,77,12,6,8,11,8,V
81,62,62,62,66,67,67,67,66,70,70,70,70,75,75,75,70,76,79,79,79,76,75,75,75,75,75,61,45,58,80,49,71,54,51,72,81,52,52,66,85,54,53,51,93,69,40,78,81,70,73,47,78,80,80,76,8,13,9,6,8,V
81,73,73,73,76,76,76,76,76,78,78,78,78,80,80,80,78,79,81,81,81,79,78,76,76,76,78,74,71,58,83,65,77,80,65,79,82,75,68,79,82,78,75,61,87,67,69,86,86,78,78,79,84,78,80,77,9,12,15,9,8,V
81,81,81,81,79,81,81,81,79,79,79,79,79,75,75,75,79,65,65,65,65,65,61,59,59,59,61,76,81,69,78,73,82,78,81,72,79,81,80,69,82,59,94,69,86,92,90,83,48,82,75,78,75,50,41,28,6,10,7,11,12,V
80,72,72,72,77,76,76,76,77,78,78,78,78,78,78,78,78,75,76,76,76,75,73,72,72,72,73,67,59,56,82,59,86,67,63,79,84,84,76,83,79,83,80,63,78,78,70,81,73,70,79,60,84,69,73,69,8,10,13,8,7,V
80,74,74,74,78,78,78,78,78,79,79,79,79,79,79,79,79,73,72,72,72,73,70,64,64,64,70,80,74,56,84,66,79,69,82,79,82,75,77,75,80,70,77,59,78,65,73,49,68,77,83,73,76,60,65,56,6,14,7,13,11,V
80,74,74,74,80,79,79,79,80,79,79,79,79,74,74,74,79,61,58,58,58,61,56,47,47,47,56,81,78,44,80,64,84,69,71,73,85,72,75,70,81,70,73,58,71,59,79,40,29,80,79,52,69,50,32,30,10,6,10,13,11,V
80,70,70,70,68,70,70,70,68,70,70,70,70,74,74,74,70,76,79,79,79,76,78,81,81,81,78,50,50,76,74,66,74,58,58,70,75,73,73,67,79,67,82,90,92,75,74,85,84,67,67,55,74,84,84,83,13,14,7,7,13,V
80,63,63,63,66,67,67,67,66,69,69,69,69,74,74,74,69,74,78,78,78,74,75,78,78,78,75,55,37,71,78,36,76,51,37,75,77,67,69,64,74,57,72,76,83,80,50,87,80,60,73,45,68,71,84,82,11,15,11,14,10,V
80,73,73,73,74,75,75,75,74,76,76,76,75,79,79,79,75,78,81,81,81,78,78,80,80,80,78,70,60,72,81,61,76,68,65,80,81,69,73,73,78,71,81,76,85,83,75,85,81,73,79,60,74,82,81,80,14,8,8,13,11,V
80,73,73,73,79,78,78,78,79,78,78,78,78,72,72,72,78,62,56,56,56,62,58,45,45,45,58,77,71,59,76,68,82,73,69,68,84,94,86,94,80,96,76,61,68,34,65,41,42,72,77,57,71,31,39,25,6,11,13,10,12,V
80,73,73,73,78,77,77,77,78,79,79,79,79,77,77,77,79,73,71,71,71,73,71,65,65,65,71,78,74,60,82,73,84,78,72,75,84,75,76,75,74,73,68,65,77,63,74,66,70,76,80,72,78,50,64,70,4,5,3,4,8,V
80,74,74,74,77,77,77,77,77,79,79,79,78,78,78,78,78,71,72,72,72,71,69,67,67,67,69,74,72,67,84,72,84,77,66,76,85,70,69,78,74,75,72,70,77,64,71,76,64,75,83,70,80,61,64,62,6,15,14,8,11,V
80,80,80,80,77,79,79,79,77,79,79,79,77,80,80,80,77,72,76,76,76,72,72,75,75,75,72,78,79,90,79,55,78,72,68,80,85,47,57,66,86,64,85,76,74,82,86,84,69,85,83,76,83,69,74,63,14,16,14,16,15,V
80,72,72,72,77,77,77,77,77,79,79,79,77,78,78,78,77,67,70,70,70,67,64,61,61,61,64,85,71,58,85,72,84,86,78,84,86,58,52,72,76,84,77,53,53,54,76,64,61,76,86,80,88,62,60,50,6,9,5,7,15,V
79,71,71,71,78,77,77,77,78,78,78,78,78,73,73,73,78,64,61,61,61,64,61,51,51,51,61,76,75,45,80,68,80,68,71,69,81,82,83,77,78,73,70,50,74,47,72,57,39,75,80,61,79,66,36,37,9,7,15,6,12,V
79,68,68,68,77,76,76,76,77,78,78,78,77,73,73,73,77,63,60,60,60,63,59,48,48,48,59,69,63,46,78,64,86,70,54,75,84,87,77,90,76,83,67,57,73,32,64,46,39,73,77,57,71,44,50,32,15,13,10,13,6,V
79,74,74,74,74,75,75,75,74,75,75,75,75,77,77,77,75,77,79,79,79,77,77,78,78,78,77,66,64,68,79,60,78,58,48,75,79,71,77,68,76,79,84,79,96,87,76,86,80,76,71,82,76,80,78,74,9,11,12,12,10,V
79,73,73,73,69,72,72,72,69,72,72,72,70,74,74,74,70,74,77,77,77,74,75,79,79,79,75,52,68,83,78,67,72,64,68,72,74,62,78,67,75,69,75,71,87,82,70,84,72,67,72,72,76,82,84,77,15,7,16,9,8,V
79,75,75,75,77,77,77,77,77,77,77,77,77,71,71,71,77,61,60,60,60,61,58,54,54,54,58,70,74,65,75,68,81,63,65,69,80,85,81,78,79,81,70,72,77,72,71,74,32,80,75,63,76,54,34,33,15,11,13,6,12,V
79,61,61,61,68,67,67,67,68,72,72,72,71,76,76,76,71,75,78,78,78,75,74,73,73,73,74,58,41,63,85,56,74,63,46,80,79,72,59,77,80,65,48,67,80,63,52,64,84,56,77,50,80,74,78,73,6,14,16,11,7,V
79,64,64,64,63,65,65,65,63,67,67,67,66,74,74,74,66,71,78,78,78,71,70,75,75,75,70,58,48,73,80,49,69,59,60,83,73,54,34,60,79,57,73,35,86,85,66,84,76,56,69,59,76,74,80,71,16,11,12,16,10,V
79,68,68,68,69,69,69,69,69,70,70,70,71,74,74,74,71,77,78,78,78,77,77,77,77,77,77,66,56,65,78,56,69,66,65,74,77,74,76,75,72,76,82,84,90,76,75,83,80,58,68,58,63,78,81,81,16,14,11,7,9,V
79,73,73,73,78,77,77,77,78,77,77,77,77,74,74,74,77,64,61,61,61,64,60,51,51,51,60,77,74,51,76,82,80,78,70,69,81,78,75,85,81,85,78,62,80,45,71,64,55,81,76,71,69,32,44,35,7,9,10,8,13,V
79,67,67,67,66,68,68,68,66,69,69,69,68,74,74,74,68,73,77,77,77,73,73,76,76,76,73,66,54,75,79,50,62,71,78,75,74,53,59,58,77,58,79,62,86,82,72,88,79,66,73,87,73,78,76,72,13,9,16,6,12,V
79,65,65,65,72,71,71,71,72,73,73,73,74,76,76,76,74,76,78,78,78,76,74,72,72,72,74,67,65,32,82,34,74,46,48,77,79,74,75,76,76,89,63,77,88,69,54,89,78,64,74,42,83,75,75,76,15,8,7,11,9,V
79,76,76,76,74,76,76,76,74,76,76,76,75,77,77,77,75,71,73,73,73,71,70,70,70,70,70,63,77,74,81,82,72,62,44,75,80,71,64,67,78,64,78,72,83,69,77,77,67,80,78,75,83,63,72,61,12,6,13,16,10,V
79,69,69,69,77,75,75,75,77,76,76,76,77,73,73,73,77,69,66,66,66,69,66,58,58,58,66,73,65,45,79,66,84,77,70,72,80,90,79,92,76,90,70,72,78,48,62,72,52,70,75,61,72,56,55,55,15,11,6,14,16,V
79,71,71,71,74,74,74,74,74,76,76,76,75,78,78,78,75,75,76,76,76,75,74,71,71,71,74,74,66,54,84,68,76,70,76,79,79,72,66,76,79,76,76,69,79,68,74,72,76,72,78,78,80,69,76,72,9,10,11,8,9,V
79,72,72,72,74,74,74,74,74,76,76,76,74,77,77,77,74,70,73,73,73,70,67,67,67,67,67,76,67,64,81,73,77,73,80,79,80,62,56,66,74,67,87,56,74,65,87,70,72,72,81,74,76,71,69,46,9,9,11,11,10,V
79,74,74,74,77,77,77,77,77,77,77,77,78,75,75,75,78,70,68,68,68,70,67,63,63,63,67,82,70,64,78,72,81,79,77,75,79,79,77,76,77,76,84,78,78,70,74,66,58,74,79,70,79,58,59,49,7,6,14,10,8,V
79,69,69,69,69,70,70,70,69,70,70,70,71,74,74,74,71,76,78,78,78,76,76,78,78,78,76,63,55,75,76,44,71,68,61,73,78,68,71,69,75,66,77,65,92,83,71,83,80,66,67,63,74,79,81,76,10,12,7,10,8,V
79,71,71,71,74,74,74,74,74,76,76,76,74,77,77,77,74,73,75,75,75,73,72,70,70,70,72,77,67,61,81,75,78,79,75,80,80,64,57,70,76,68,83,53,69,59,79,79,80,73,78,85,79,60,78,73,15,6,8,10,7,V
79,71,71,71,79,77,77,77,79,78,78,78,78,72,72,72,78,64,60,60,60,64,60,50,50,50,60,80,66,44,76,75,85,85,75,74,80,89,79,93,80,94,80,71,63,43,76,53,41,76,76,56,79,48,43,40,6,6,11,8,7,V
79,76,76,76,69,73,73,73,69,72,72,72,70,75,75,75,70,70,77,77,77,70,70,78,78,78,70,61,73,93,81,68,67,64,46,66,82,41,48,47,81,49,75,64,75,91,65,94,74,84,73,64,78,77,77,60,8,6,9,15,16,V
79,77,77,77,77,77,77,77,77,76,76,76,76,70,70,70,76,59,56,56,56,59,55,50,50,50,55,72,77,71,71,67,82,77,50,66,79,83,82,77,71,74,85,82,84,78,82,58,34,77,74,70,75,39,28,21,16,8,12,11,15,V
78,66,66,66,68,68,68,68,68,69,69,69,70,72,72,72,70,75,76,76,76,75,74,75,75,75,74,71,56,62,75,45,72,81,77,77,71,72,72,51,81,55,73,61,76,88,72,77,76,52,72,67,67,80,76,76,11,15,8,7,7,V
78,72,72,72,76,75,75,75,76,76,76,76,77,77,77,77,77,73,73,73,73,73,72,68,68,68,72,78,70,59,79,53,79,74,69,79,79,74,74,75,75,59,70,61,86,71,70,71,66,77,78,53,76,70,68,63,14,6,12,9,10,V
78,70,70,70,72,73,73,73,72,74,74,74,74,77,77,77,74,73,75,75,75,73,72,70,70,70,72,65,61,65,79,46,77,58,48,77,79,66,69,74,76,67,77,53,96,74,80,68,68,69,74,45,75,72,75,63,15,10,13,15,8,V
78,69,69,69,75,74,74,74,75,76,76,76,76,75,75,75,76,68,67,67,67,68,64,58,58,58,64,73,65,43,79,65,85,76,71,73,81,77,68,79,75,76,70,66,77,66,70,48,62,69,78,65,69,53,57,46,12,12,14,12,10,V
78,75,75,75,76,75,75,75,76,74,74,74,76,73,73,73,76,76,73,73,73,76,75,73,73,73,75,78,66,72,75,68,78,72,48,68,77,86,89,66,76,67,81,80,79,79,77,71,73,73,72,58,72,72,71,72,8,9,7,10,10,V
78,74,74,74,77,76,76,76,77,77,77,77,77,71,71,71,77,63,61,61,61,63,59,56,56,56,59,72,73,67,76,66,86,82,76,68,79,80,82,87,73,75,76,67,81,70,74,73,31,71,76,54,73,68,37,32,9,9,16,12,11,V
78,69,69,69,70,71,71,71,70,72,72,72,71,75,75,75,71,75,77,77,77,75,75,75,75,75,75,64,54,73,78,68,75,68,38,75,77,68,68,64,72,62,76,64,85,71,73,74,80,68,73,40,74,77,78,76,12,6,8,7,9,V
78,68,68,68,76,74,74,74,76,77,77,77,74,71,71,71,74,56,55,55,55,56,52,44,44,44,52,75,66,42,78,65,83,80,77,77,83,73,71,90,72,91,83,55,44,38,73,43,35,63,85,71,75,52,30,22,14,16,10,7,12,V
78,69,69,69,76,76,76,76,76,78,78,78,77,77,77,77,77,71,71,71,71,71,69,62,62,62,69,73,70,52,81,60,83,77,64,78,82,72,65,78,78,78,65,62,71,38,69,58,67,76,80,64,82,66,66,62,7,7,14,6,8,V
78,66,66,66,68,70,70,70,68,73,73,73,70,76,76,76,70,72,77,77,77,72,71,72,72,72,71,50,53,56,82,54,75,61,68,83,80,65,64,76,73,68,74,73,79,75,69,70,75,62,74,68,74,77,76,71,6,7,9,10,11,V
78,73,73,73,77,76,76,76,77,77,77,77,77,76,76,76,77,73,72,72,72,73,71,67,67,67,71,78,74,56,80,72,81,80,80,77,81,78,74,78,74,78,73,62,75,68,77,69,68,71,78,70,74,67,65,63,15,14,7,10,7,V
78,55,55,55,55,58,58,58,55,61,61,61,59,68,68,68,59,68,76,76,76,68,69,76,76,76,69,37,25,67,80,35,59,49,53,71,72,53,48,54,72,59,60,65,75,82,43,88,80,48,65,54,72,77,79,74,12,14,10,11,16,V
78,71,71,71,76,75,75,75,76,76,76,76,76,72,72,72,76,62,59,59,59,62,58,48,48,48,58,73,70,58,79,70,82,75,78,74,80,83,77,91,72,80,73,41,73,50,73,47,56,69,74,72,72,31,34,32,12,16,12,13,7,V
78,71,71,71,75,75,75,75,75,77,77,77,75,75,75,75,75,66,66,66,66,66,63,59,59,59,63,75,69,43,83,85,78,74,73,78,80,69,68,70,68,73,82,71,66,72,78,63,46,73,85,61,83,59,56,58,15,10,13,6,10,V
78,67,67,67,74,72,72,72,74,74,74,74,75,75,75,75,75,77,76,76,76,77,76,74,74,74,76,78,57,63,77,51,80,77,45,76,79,75,76,79,79,66,60,70,78,67,66,78,75,65,73,52,81,71,79,80,15,15,11,8,8,V
77,75,75,75,76,75,75,75,76,73,73,73,76,66,66,66,76,58,51,51,51,58,54,45,45,45,54,75,79,66,69,70,77,71,71,60,75,91,93,83,76,70,75,71,80,65,64,51,32,77,65,79,77,34,20,19,14,14,8,12,10,V
77,73,73,73,77,76,76,76,77,75,75,75,75,67,67,67,75,59,53,53,53,59,56,45,45,45,56,70,71,60,69,54,81,75,34,63,78,92,90,91,71,84,80,67,74,59,77,27,37,75,71,58,72,48,21,30,13,8,12,7,13,V
77,74,74,74,73,75,75,75,73,75,75,75,74,75,75,75,74,66,68,68,68,66,64,63,63,63,64,79,72,73,79,74,75,79,82,80,81,55,58,62,71,74,83,54,66,73,80,63,62,78,80,78,78,60,59,49,14,11,10,11,6,V
77,62,62,62,62,64,64,64,62,66,66,66,64,71,71,71,64,70,76,76,76,70,71,75,75,75,71,59,54,60,77,53,62,64,62,71,70,53,42,64,77,61,72,70,69,77,64,82,82,58,70,60,86,80,79,78,7,13,14,10,14,V
77,73,73,73,74,75,75,75,74,75,75,75,75,75,75,75,75,70,70,70,70,70,68,65,65,65,68,79,69,69,81,70,75,84,87,77,78,69,73,71,74,65,88,68,78,69,84,72,62,69,78,66,75,54,66,58,6,6,12,15,13,V
77,68,68,68,72,72,72,72,72,74,74,74,73,75,75,75,73,73,76,76,76,73,72,73,73,73,72,67,61,58,78,39,72,65,72,76,79,69,69,72,80,74,69,60,74,78,65,92,72,69,80,59,74,70,75,72,10,7,16,15,14,V
77,76,76,76,75,76,76,76,75,76,76,76,75,72,72,72,75,65,64,64,64,65,64,62,62,62,64,63,74,80,75,78,80,69,62,66,78,76,74,74,72,79,76,82,80,76,73,72,43,79,79,78,74,53,50,62,7,13,12,15,15,V
77,72,72,72,76,74,74,74,76,74,74,74,75,69,69,69,75,62,59,59,59,62,59,53,53,53,59,75,75,56,71,80,83,65,61,66,75,84,78,85,74,83,71,78,73,57,63,71,48,75,69,73,77,36,49,37,6,16,6,7,14,V
77,68,68,68,70,71,71,71,70,73,73,73,71,75,75,75,71,72,76,76,76,72,71,72,72,72,71,68,72,56,80,35,69,41,43,76,72,62,63,67,75,77,80,59,80,73,81,92,78,58,82,51,75,69,73,69,10,13,8,15,10,V
77,67,67,67,68,68,68,68,68,69,69,69,69,72,72,72,69,74,75,75,75,74,74,75,75,75,74,71,62,73,75,57,74,70,55,74,73,63,69,74,67,64,78,75,76,68,76,74,85,56,67,58,68,79,79,72,15,14,8,14,14,V
77,69,69,69,72,72,72,72,72,75,75,75,73,75,75,75,73,68,70,70,70,68,65,63,63,63,65,81,67,60,83,84,76,85,86,77,81,58,52,68,67,78,83,77,65,57,81,65,77,66,82,77,70,67,52,48,16,16,9,12,11,V
77,73,73,73,71,72,72,72,71,72,72,72,73,74,74,74,73,74,76,76,76,74,74,76,76,76,74,67,65,78,77,70,74,72,65,72,77,72,74,62,72,62,79,70,87,83,75,81,76,68,71,60,72,73,76,71,12,16,10,13,7,V
77,74,74,74,77,76,76,76,77,75,75,75,75,72,72,72,75,67,64,64,64,67,64,59,59,59,64,80,78,54,72,68,80,74,61,68,76,77,79,77,78,74,81,75,65,67,84,62,61,74,74,64,66,44,55,52,16,7,14,7,8,V
77,73,73,73,76,75,75,75,76,74,74,74,76,71,71,71,76,70,67,67,67,70,68,63,63,63,68,75,75,60,73,62,78,69,71,61,78,83,84,68,73,67,70,53,86,68,67,73,64,74,74,52,68,67,54,50,12,15,7,16,8,V
77,68,68,68,77,75,75,75,77,76,76,76,76,69,69,69,76,56,51,51,51,56,51,38,38,38,51,69,68,35,75,70,86,71,63,66,86,84,79,89,68,84,71,34,67,40,65,47,19,72,75,69,69,16,40,32,9,16,10,14,7,V
77,71,71,71,76,75,75,75,76,75,75,75,75,68,68,68,75,60,54,54,54,60,56,46,46,46,56,77,65,54,74,70,79,74,60,64,77,79,83,83,77,75,74,69,64,56,70,58,29,79,77,63,65,28,26,54,14,13,8,8,7,V
77,74,74,74,74,75,75,75,74,75,75,75,74,76,76,76,74,73,74,74,74,73,72,71,71,71,72,75,70,66,78,75,77,79,70,74,78,59,65,68,79,68,86,59,77,67,80,78,69,77,77,68,79,78,70,69,13,7,11,6,14,V
77,71,71,71,76,75,75,75,76,75,75,75,75,70,70,70,75,60,59,59,59,60,57,50,50,50,57,75,75,53,76,59,79,77,72,72,78,79,72,80,75,82,80,63,72,34,75,80,34,73,73,66,67,63,35,27,8,6,6,16,14,V
77,66,66,66,76,74,74,74,76,76,76,76,75,69,69,69,75,56,51,51,51,56,52,37,37,37,52,74,62,36,74,61,79,83,76,73,79,91,85,90,74,94,69,58,63,30,78,30,25,69,77,71,71,35,31,18,15,16,16,9,13,V
77,72,72,72,77,76,76,76,77,77,77,77,76,71,71,71,76,57,55,55,55,57,54,47,47,47,54,75,77,69,76,61,82,80,79,74,80,77,71,79,79,66,64,66,54,34,80,54,31,75,76,75,69,43,37,25,12,7,15,16,15,V
77,64,64,64,65,66,66,66,65,68,68,68,66,71,71,71,66,71,76,76,76,71,71,76,76,76,71,42,57,72,76,45,70,51,46,69,77,66,69,66,75,71,60,82,79,76,63,90,81,46,69,47,69,76,77,69,6,11,9,10,7,V
76,71,71,71,73,74,74,74,73,75,75,75,73,75,75,75,73,71,73,73,73,71,70,70,70,70,70,69,74,65,78,55,78,69,59,73,77,63,59,71,81,55,65,44,61,72,75,72,78,72,77,61,71,65,73,67,10,14,11,14,7,V
76,70,70,70,75,74,74,74,75,76,76,76,75,75,75,75,75,70,69,69,69,70,67,63,63,63,67,78,60,50,78,77,82,86,85,76,82,67,72,74,75,76,79,47,70,65,74,69,60,74,78,75,78,65,60,60,11,15,13,6,9,V
76,67,67,67,68,69,69,69,68,70,70,70,69,71,71,71,69,72,75,75,75,72,73,75,75,75,73,66,55,66,75,55,71,51,52,71,72,69,64,70,74,74,75,76,68,74,65,83,79,69,71,51,74,78,77,77,9,8,14,7,11,V
76,64,64,64,72,70,70,70,72,74,74,74,74,75,75,75,74,74,74,74,74,74,73,68,68,68,73,72,48,54,80,68,80,74,62,78,80,73,73,82,74,79,58,54,78,54,58,65,75,64,78,58,76,75,73,67,10,7,6,10,14,V
76,72,72,72,73,73,73,73,73,73,73,73,74,74,74,74,74,73,73,73,73,73,72,70,70,70,72,68,73,67,77,50,73,63,63,76,77,76,74,70,70,72,75,75,92,75,71,72,70,71,71,68,74,64,70,69,16,13,16,7,14,V
76,67,67,67,69,69,69,69,69,71,71,71,71,75,75,75,71,73,75,75,75,73,71,71,71,71,71,74,55,63,84,66,70,83,82,76,75,63,51,75,74,94,84,74,84,67,77,80,75,64,72,66,73,70,72,68,2,2,2,2,2,V
76,71,71,71,75,74,74,74,75,73,73,73,74,66,66,66,74,56,50,50,50,56,52,41,41,41,52,76,71,59,67,65,78,73,71,58,76,86,84,83,74,77,75,63,74,53,67,46,31,72,74,71,74,23,25,21,7,14,11,6,14,V
